course,year,semester,raw_word,clean_word,en_word
b,2026,1,Informalidad.,informalidad,informality
b,2026,1,La informalidad,informalidad,informality
b,2026,1,Déficit fiscal,deficit fiscal,fiscal deficit
b,2026,1,caida de la inversión,inversion,investment
b,2026,1,actualidad,actualidad,present
b,2026,1,Inflación,inflacion,inflation
b,2026,1,inflacion,inflacion,inflation
b,2026,1,La violencia .,violencia,violence
b,2026,1,DESEMPLEO,desempleo,unemployment
b,2026,1,informalidad,informalidad,informality
b,2026,1,informalidad,informalidad,informality
b,2026,1,Corrupción,corrupcion,corruption
b,2026,1,Desbalance,desbalance,imbalance
b,2026,1,estabilidad,estabilidad,stability
b,2026,1,pobreza,pobreza,poverty
b,2026,1,Inflación,inflacion,inflation
b,2026,1,Reducir informalidad,informalidad,informality
b,2026,1,Desigualdad,desigualdad,inequality
b,2026,1,Desempleo,desempleo,unemployment
b,2026,1,informalidad,informalidad,informality
