entity,entity_code,is_aggregate_entity,date,series,is_aggregate_series,generation_twh,generation_share_pct,generation_kwh_per_capita,generation_yoy_change_twh,generation_yoy_change_pct,generation_share_yoy_change_pct_points,generation_yoy_change_kwh_per_capita
"Colombia","COL",false,"2007","Bioenergy",false,0.53,0.97,12.26,0,0,-0.02,0
"Colombia","COL",false,"2007","Coal",false,3.39,6.19,78.41,0.55,19.37,0.87,12.72
"Colombia","COL",false,"2007","Gas",false,6.57,11.99,151.96,-0.81,-10.98,-1.85,-18.73
"Colombia","COL",false,"2007","Hydro",false,44,80.31,1017.69,1.69,3.99,0.99,39.09
"Colombia","COL",false,"2007","Nuclear",false,0,0,0,0,,0,0
"Colombia","COL",false,"2007","Other fossil",false,0.24,0.44,5.55,0.03,14.29,0.05,0.69
"Colombia","COL",false,"2007","Other renewables",false,0,0,0,0,,0,0
"Colombia","COL",false,"2007","Solar",false,0.01,0.02,0.23,0,0,0,0
"Colombia","COL",false,"2007","Total generation",true,54.79,100,1267.25,1.45,2.72,0,33.54
"Colombia","COL",false,"2007","Wind",false,0.05,0.09,1.16,-0.01,-16.67,-0.02,-0.23
"Colombia","COL",false,"2008","Bioenergy",false,0.54,0.97,12.34,0.01,1.89,0,0.23
"Colombia","COL",false,"2008","Coal",false,2.92,5.26,66.73,-0.47,-13.86,-0.93,-10.74
"Colombia","COL",false,"2008","Gas",false,5.76,10.38,131.63,-0.81,-12.33,-1.61,-18.51
"Colombia","COL",false,"2008","Hydro",false,45.94,82.8,1049.85,1.94,4.41,2.49,44.33
"Colombia","COL",false,"2008","Nuclear",false,0,0,0,0,,0,0
"Colombia","COL",false,"2008","Other fossil",false,0.26,0.47,5.94,0.02,8.33,0.03,0.46
"Colombia","COL",false,"2008","Other renewables",false,0,0,0,0,,0,0
"Colombia","COL",false,"2008","Solar",false,0.01,0.02,0.23,0,0,0,0
"Colombia","COL",false,"2008","Total generation",true,55.48,100,1267.86,0.69,1.26,0,15.77
"Colombia","COL",false,"2008","Wind",false,0.05,0.09,1.14,0,0,0,0
"Colombia","COL",false,"2009","Bioenergy",false,0.54,0.95,12.2,0,0,-0.02,0
"Colombia","COL",false,"2009","Coal",false,4.17,7.35,94.19,1.25,42.81,2.09,28.23
"Colombia","COL",false,"2009","Gas",false,10.94,19.28,247.11,5.18,89.93,8.9,117.01
"Colombia","COL",false,"2009","Hydro",false,40.64,71.61,917.97,-5.3,-11.54,-11.19,-119.72
"Colombia","COL",false,"2009","Nuclear",false,0,0,0,0,,0,0
"Colombia","COL",false,"2009","Other fossil",false,0.39,0.69,8.81,0.13,50,0.22,2.94
"Colombia","COL",false,"2009","Other renewables",false,0,0,0,0,,0,0
"Colombia","COL",false,"2009","Solar",false,0.01,0.02,0.23,0,0,0,0
"Colombia","COL",false,"2009","Total generation",true,56.75,100,1281.86,1.27,2.29,0,28.69
"Colombia","COL",false,"2009","Wind",false,0.06,0.11,1.36,0.01,20,0.02,0.23
"Colombia","COL",false,"2010","Bioenergy",false,2.42,4.02,54.05,1.88,348.15,3.07,41.99
"Colombia","COL",false,"2010","Coal",false,4.04,6.71,90.22,-0.13,-3.12,-0.64,-2.9
"Colombia","COL",false,"2010","Gas",false,11.97,19.87,267.32,1.03,9.41,0.59,23
"Colombia","COL",false,"2010","Hydro",false,40,66.41,893.31,-0.64,-1.57,-5.2,-14.29
"Colombia","COL",false,"2010","Nuclear",false,0,0,0,0,,0,0
"Colombia","COL",false,"2010","Other fossil",false,1.75,2.91,39.08,1.36,348.72,2.22,30.37
"Colombia","COL",false,"2010","Other renewables",false,0,0,0,0,,0,0
"Colombia","COL",false,"2010","Solar",false,0.01,0.02,0.22,0,0,0,0
