DATASET,SERIES_CODE,OBS_MEASURE,COUNTRY,BOP_ACCOUNTING_ENTRY,INDICATOR,UNIT,FREQUENCY,SCALE,2000,2000-Q1,2000-Q2,2000-Q3,2000-Q4,2001,2001-Q1,2001-Q2,2001-Q3,2001-Q4,2002,2002-Q1,2002-Q2,2002-Q3,2002-Q4,2003,2003-Q1,2003-Q2,2003-Q3,2003-Q4,2004,2004-Q1,2004-Q2,2004-Q3,2004-Q4,2005,2005-Q1,2005-Q2,2005-Q3,2005-Q4,2006,2006-Q1,2006-Q2,2006-Q3,2006-Q4,2007,2007-Q1,2007-Q2,2007-Q3,2007-Q4,2008,2008-Q1,2008-Q2,2008-Q3,2008-Q4,2009,2009-Q1,2009-Q2,2009-Q3,2009-Q4,2010,2010-Q1,2010-Q2,2010-Q3,2010-Q4,2011,2011-Q1,2011-Q2,2011-Q3,2011-Q4,2012,2012-Q1,2012-Q2,2012-Q3,2012-Q4,2013,2013-Q1,2013-Q2,2013-Q3,2013-Q4,2014,2014-Q1,2014-Q2,2014-Q3,2014-Q4,2015,2015-Q1,2015-Q2,2015-Q3,2015-Q4,2016,2016-Q1,2016-Q2,2016-Q3,2016-Q4,2017,2017-Q1,2017-Q2,2017-Q3,2017-Q4,2018,2018-Q1,2018-Q2,2018-Q3,2018-Q4,2019,2019-Q1,2019-Q2,2019-Q3,2019-Q4,2020,2020-Q1,2020-Q2,2020-Q3,2020-Q4,2021,2021-Q1,2021-Q2,2021-Q3,2021-Q4,2022,2022-Q1,2022-Q2,2022-Q3,2022-Q4,2023,2023-Q1,2023-Q2,2023-Q3,2023-Q4,2024,2024-Q1,2024-Q2,2024-Q3,2024-Q4
IMF.STA:BOP(21.0.0),COL.CD_T.SC4.USD.Q,OBS_VALUE,Colombia,Credit/Revenue,Postal and courier services,US dollar,Quarterly,Millions,,2.18701513671875,2.0881337890625,2.58903076171875,3.30532934570313,,2.55485375976563,2.48843872070313,2.3049697265625,2.65917602539063,,2.06246264648437,2.0915908203125,1.84295190429687,2.09915380859375,,1.868984375,1.81453247070312,1.85541430664063,2.01155737304687,,1.73895910644531,1.86870263671875,1.90745458984375,1.92360583496094,,1.74245947265625,1.87151110839844,1.83822094726563,1.92234106445312,,1.65244799804687,1.71794995117187,1.72883081054688,2.076861328125,,1.70744482421875,1.8233623046875,1.90752856445313,2.22710791015625,,1.73277038574219,1.57637768554687,1.6313212890625,1.5951162109375,,1.52130200195312,1.79992932128906,1.54661584472656,1.65786743164063,,1.46330834960938,1.65984997558594,1.76889636230469,1.99409716796875,,4.292740234375,2.55510009765625,1.730283203125,1.85177514648438,,4.2762978515625,2.63752685546875,1.93747448730469,1.62171545410156,,3.36344677734375,2.17617333984375,1.6603310546875,2.319013671875,,3.3147568359375,4.9843408203125,4.9051328125,5.83052783203125,,1.43354772949219,6.12166455078125,1.93536218261719,1.50732678222656,,3.02908276367187,8.626291015625,2.9118857421875,3.28086401367187,,3.102451171875,8.781197265625,2.83618237304688,3.16843896484375,,2.9082392578125,9.6295927734375,3.26607983398437,4.09032592773437,,3.34302709960938,13.1468544921875,3.97355078125,5.338484375,,4.02496313476562,15.8712265625,2.92489135742187,5.1314716796875,,6.53965515984046,13.6787113271026,7.64248899707861,11.1294191693366,,16.560177700373,24.822970871744,12.616077145337,8.783427547186,,9.57282459572598,10.558181893313,9.03439718475316,9.52877166609297,,9.437705316021,12.3814982061336,10.936074378619,10.5787017574612
IMF.STA:BOP(21.0.0),COL.NETCD_T.P_F_D4P.USD.A,OBS_VALUE,Colombia,Net (credits less debits),"Portfolio investment, Total financial assets/liabilities, Investment income on other investment income",US dollar,Annual,Millions,-267.929038714029,,,,,-591.969167073548,,,,,-951.878459408323,,,,,-1023.57822263208,,,,,-1067.22821916848,,,,,-1258.65915023818,,,,,-764.959845381678,,,,,-826.413372789742,,,,,-1157.595987217,,,,,-1082.10462029992,,,,,-1373.26756273293,,,,,-1792.67797165929,,,,,-2458.28018640586,,,,,-2610.66521078466,,,,,-3164.18268365252,,,,,-3150.84034619494,,,,,-3299.93988320734,,,,,-3740.9234229273,,,,,-3691.9166745054,,,,,-3568.28007016515,,,,,-3512.87390731599,,,,,-3716.34180748044,,,,,-3240.69829185994,,,,,-3652.97646338925,,,,,-4098.46877731778,,,,
IMF.STA:BOP(21.0.0),COL.A_NFA_T.O_F2_S12R.USD.A,OBS_VALUE,Colombia,"Assets, Net acquisition of financial assets","Other investment, Currency and deposits, Other financial corporations",US dollar,Annual,Millions,4.43777270175825,,,,,4.93827365426175,,,,,-17.3855294638459,,,,,1.99925419869428,,,,,-7.61605734360493,,,,,2.83377410950973,,,,,2.04917956696261,,,,,5.89327820780286,,,,,1.49559117613177,,,,,7.65386165400634,,,,,-17.0931813486343,,,,,7.29201402214682,,,,,86.4153754349547,,,,,395.43579215963,,,,,237.582647659586,,,,,84.326748933143,,,,,522.080009160149,,,,,-468.584243696932,,,,,138.125016956849,,,,,-614.833370535614,,,,,402.253253835363,,,,,920.386364131559,,,,,748.644874337593,,,,,-1871.01542303437,,,,,698.0766229702,,,,
IMF.STA:BOP(21.0.0),COL.L_NIL_T.D_F5.USD.Q,OBS_VALUE,Colombia,"Liabilities, Net incurrence of liabilities","Direct investment, Equity and investment fund shares",US dollar,Quarterly,Millions,,387.789895002934,572.865953846425,760.878938791516,673.234315417686,,557.500206271436,1034.92961473836,234.477192386713,697.978252960885,,910.234650952127,587.555172656213,204.851352575436,436.835781765688,,313.649009586937,517.865055999063,578.110717813527,348.046678938605,,717.201984135417,777.945224553879,885.505222301011,703.143442530273,,894.049006719921,1612.47704863838,983.947931780245,6776.07332799901,,1195.90565422356,1799.19209689789,1684.52462322042,2007.71293681691,,2028.84170521278,2221.92635200417,2353.55863884458,2402.5877015014,,2736.07771947634,2357.78591476985,2610.70973985024,2812.9824218363,,2321.5399128831,2815.17843317211,1185.14002788733,981.467803141906,,1453.58030894,1962.53661582709,2343.29968340608,1305.90300482096,,3176.84095581288,2919.51520380186,3740.71590344291,2938.16657539191,,3295.49337075466,4070.25901488354,2967.25890861431,3468.0278446389,,3060.751481973,3727.72092498519,3821.70445814016,3231.93215088325,,3333.83690335392,4597.75878633648,2853.79038585453,2890.74563920474,,2751.97474900984,3305.1552427828,2049.55501946557,1507.67563445098,,3585.51731831591,3293.56231783855,2090.15330350263,216.418466845551,,2605.12460511289,2190.96932046332,3657.44162683196,3453.73150098162,,1841.9333959961,2483.34933941384,2516.6713864545,2852.91926610415,,2566.18898705763,3059.48060249639,2646.72716456747,3306.06643102682,,1792.35511455068,804.439449140163,888.689359811505,1446.16881114696,,1267.53085559354,1300.3624958649,2239.11938737361,2269.19342702366,,3608.68990412661,5163.46847030008,2408.02806375085,3046.95348662839,,3102.33089031791,4922.14421811783,3196.54084331832,2650.08819565974,,3259.14010055578,3384.95943434462,2695.4434636043,3260.15660215245
IMF.STA:BOP(21.0.0),COL.L_NIL_T.O_F81_S121.USD.Q,OBS_VALUE,Colombia,"Liabilities, Net incurrence of liabilities","Other investment, Trade credits and advances, Central bank",US dollar,Quarterly,Millions,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
IMF.STA:BOP(21.0.0),COL.CD_T.TCDCA.USD.A,OBS_VALUE,Colombia,Credit/Revenue,Total current account credit/revenue,US dollar,Annual,Millions,18747.7513598683,,,,,18618.5726143929,,,,,17920.3482085261,,,,,19854.4202746988,,,,,24335.5447128489,,,,,30016.7361197644,,,,,35382.2623901985,,,,,42553.5563617791,,,,,51634.7598982528,,,,,46328.6767464012,,,,,54321.4931290743,,,,,73817.3194093194,,,,,78956.9721349686,,,,,78420.428584513,,,,,75609.984831072,,,,,58166.478945687,,,,,54747.6098640341,,,,,62655.0733002733,,,,,68799.744202374,,,,,68318.3446738586,,,,,52420.203693849,,,,,68782.5645869844,,,,,94173.7010546105,,,,,92055.4657788685,,,,,95817.6777848799,,,,
IMF.STA:BOP(21.0.0),COL.A_NFA_T.O_F2_S122_S.USD.A,OBS_VALUE,Colombia,"Assets, Net acquisition of financial assets","Other investment, Currency and deposits, Deposit taking corporations, except the Central Bank, Short-term",US dollar,Annual,Millions,-31.5058635856453,,,,,-2.55536396760363,,,,,-45.3003759406413,,,,,127.938093870123,,,,,-14.577674244777,,,,,24.1716775555912,,,,,5.52081871547476,,,,,97.5159542359303,,,,,-4.020050023984,,,,,100.896629607026,,,,,-25.2554865717934,,,,,202.807363474164,,,,,466.465488130021,,,,,74.893353810519,,,,,-34.5576316379201,,,,,900.973223576916,,,,,680.670634041638,,,,,454.362012769689,,,,,-554.300782280722,,,,,-1466.23959020939,,,,,504.269015640284,,,,,3316.46978650933,,,,,-1985.09118191209,,,,,1134.73675018061,,,,,200.44993726536,,,,
IMF.STA:BOP(21.0.0),COL.L_NIL_T.O_F81_S13_L.USD.Q,OBS_VALUE,Colombia,"Liabilities, Net incurrence of liabilities","Other investment, Trade credits and advances, General government, Long-term",US dollar,Quarterly,Millions,,-4.888,-2.918,-1.731,0.761,,-3.053,-6.253,-2.186,16.65,,-0.424,-7.208,0.409,13.621,,-3.759,-8.966,-2.054,-9.071,,-3.298,-7.772,-2.413,6.483,,-2.175,-6.249,28.256,-5.851,,-0.941,-18.977,-0.959,-5.704,,-0.539,-4.644,-0.43,-3.945,,-0.264,-1.607,0,-1.607,,0,-1.607,0,-1.607,,0,-1.208,0,-1.208,,0,-1.208,0,-1.208,,0,-1.208,0,-1.208,,0,-1.208,0,-1.208,,0,-1.208,0,-1.208,,0,-1.208,0,-1.208,,0,-1.208,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
IMF.STA:BOP(21.0.0),COL.NETCD_T.P_F52_D4432.USD.Q,OBS_VALUE,Colombia,Net (credits less debits),"Portfolio investment, Investment fund shares/units, Investment income on reinvested earnings (investment income)",US dollar,Quarterly,Millions,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0,,0,0,0,0
IMF.STA:BOP(21.0.0),COL.L_NIL_T.D_F5B.USD.A,OBS_VALUE,Colombia,"Liabilities, Net incurrence of liabilities","Direct investment, Equity and investment fund shares/units: reinvestment of earnings",US dollar,Annual,Millions,-476.39652,,,,,328.199742464372,,,,,112.384339580249,,,,,322.024911395556,,,,,595.240410881887,,,,,996.392298835671,,,,,1494.66660139283,,,,,1982.51102177304,,,,,2656.70197012913,,,,,2400.37290154776,,,,,3332.07154466554,,,,,4492.94173787611,,,,,4710.04455433244,,,,,4087.17172953575,,,,,4495.10620994266,,,,,2191.04539646594,,,,,2786.79113833684,,,,,3854.46608913012,,,,,5136.51148671152,,,,,4293.28649475354,,,,,1546.02051980439,,,,,3807.3230766373,,,,,6367.45394766635,,,,,4708.53557146048,,,,,5192.51822855672,,,,
IMF.STA:BOP(21.0.0),COL.NETCD_T.D752W_S1W.USD.Q,OBS_VALUE,Colombia,Net (credits less debits),"Workers' remittances, Financial corporations, nonfinancial corporations, households, and NPISHs",US dollar,Quarterly,Millions,,329.264048515491,331.658648646706,315.134814919575,395.087397289229,,377.712838699348,480.472633678044,415.432896619565,555.676502433043,,475.462679878,545.9320279675,646.548470074998,641.766643873997,,668.5180751625,735.700357741,785.947743876,817.4602605565,,701.196915245275,749.261855162899,751.955905144731,936.110432987995,,723.101168994352,794.60046050584,841.440342084128,917.229867426768,,845.78686041512,983.023407802214,960.453661592512,1024.83276856324,,928.927220355464,975.717561665062,1165.23909826068,1294.16542245266,,1113.62990561357,1157.63525578629,1298.01340889384,1156.71302730389,,1062.3460579991,974.240023700005,906.26482320096,1055.58215066271,,876.780676015174,941.679285090589,978.300361198032,1088.578110063,,933.390160412789,936.748635402896,976.601952184865,1033.53934451452,,889.582666224789,957.287539242342,938.409967411395,986.163984476318,,929.872979092389,1106.06226027465,1070.38538751817,1086.01251327699,,965.65402102003,883.558711418792,929.438203987614,1059.20226652307,,1080.5406662004,1045.27720998457,1353.42930938161,1223.39847990468,,1225.4191039312,1175.43062898116,1204.14596473713,1305.88984790743,,1239.61316788575,1334.27173723906,1404.4233423175,1536.26803612457,,1430.02701718551,1522.7572560869,1640.26663966194,1752.44845528109,,1565.79088387026,1688.28109257015,1796.69827046627,1709.85862393168,,1728.37111844037,1287.13262081162,1813.78253033489,1830.78788665136,,1872.06803694562,2063.3233732703,2076.12617655838,2206.68174310401,,1941.43165130033,2306.25218375993,2310.82369036969,2454.7676104985,,2389.66192180009,2297.45779066987,2424.07297209443,2575.46736665669,,2624.98236857359,2808.67807704689,2956.31062040023,3077.60219502356
