 ,Cuentas,Valor,Fecha(DD/MM/YYYY) (Year),estado_informacion,Periodicidad de la información (Trimestral / anual),Trimestre
1,        1 Cuenta corriente,845.40408305,2000,Dato revisado,Anual,
1,        1 Cuenta corriente,91.158597187,2000,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,77.494127473,2000,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,363.39414801,2000,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,313.35721038,2000,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-1040.32792061,2001,Dato revisado,Anual,
1,        1 Cuenta corriente,-477.5388639,2001,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-290.9201972,2001,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-22.78288821,2001,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-249.0859713,2001,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-1289.2026699,2002,Dato revisado,Anual,
1,        1 Cuenta corriente,-235.597903,2002,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-348.8176201,2002,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-305.3520707,2002,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-399.4350761,2002,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-912.004384376,2003,Dato revisado,Anual,
1,        1 Cuenta corriente,-605.4217853,2003,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-70.25799395,2003,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,59.359248274,2003,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-295.6838534,2003,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-774.55595089,2004,Dato revisado,Anual,
1,        1 Cuenta corriente,-591.1450785,2004,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-210.2244537,2004,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,119.29379592,2004,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-92.48021461,2004,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-1947.7627682,2005,Dato revisado,Anual,
1,        1 Cuenta corriente,-551.512148,2005,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-285.2684884,2005,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-877.3426537,2005,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-233.6394781,2005,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-2991.0365236,2006,Dato revisado,Anual,
1,        1 Cuenta corriente,-669.3463609,2006,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-707.3868427,2006,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-775.0232527,2006,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-839.2800673,2006,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-6149.638988,2007,Dato revisado,Anual,
1,        1 Cuenta corriente,-2091.335051,2007,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1453.64285,2007,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-1462.860163,2007,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-1141.800924,2007,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-6497.285742,2008,Dato revisado,Anual,
1,        1 Cuenta corriente,-1312.293384,2008,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1157.350765,2008,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-1661.079657,2008,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2366.561936,2008,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-4433.0109261,2009,Dato revisado,Anual,
1,        1 Cuenta corriente,-932.1790343,2009,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-760.9207378,2009,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-1296.269764,2009,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-1443.64139,2009,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-8583.014198,2010,Dato revisado,Anual,
1,        1 Cuenta corriente,-1260.82076,2010,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1405.755574,2010,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3210.349642,2010,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2706.088222,2010,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-9734.501794,2011,Dato revisado,Anual,
1,        1 Cuenta corriente,-2002.965783,2011,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1726.111058,2011,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3030.84709,2011,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2974.577863,2011,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-11639.999051,2012,Dato revisado,Anual,
1,        1 Cuenta corriente,-1838.261659,2012,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-3235.458985,2012,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3596.242539,2012,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2970.035868,2012,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-12365.129749,2013,Dato revisado,Anual,
1,        1 Cuenta corriente,-3439.15823,2013,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-2205.944345,2013,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3596.219454,2013,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-3123.80772,2013,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-19818.545633,2014,Dato revisado,Anual,
1,        1 Cuenta corriente,-4124.711526,2014,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-4189.284516,2014,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-5033.405892,2014,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-6471.143699,2014,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-18702.229659,2015,Dato revisado,Anual,
1,        1 Cuenta corriente,-5291.929015,2015,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-4426.374178,2015,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-5055.773282,2015,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-3928.153184,2015,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-12586.561575,2016,Dato revisado,Anual,
1,        1 Cuenta corriente,-3524.790359,2016,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-2794.416791,2016,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3601.142148,2016,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2666.212277,2016,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-9924.365517,2017,Dato revisado,Anual,
1,        1 Cuenta corriente,-3489.521778,2017,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-2425.556448,2017,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-2560.648281,2017,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-1448.63901,2017,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-14040.960762,2018,Dato revisado,Anual,
1,        1 Cuenta corriente,-3022.552034,2018,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-3470.930068,2018,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-3406.018548,2018,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-4141.460112,2018,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-14808.667964,2019,Dato revisado,Anual,
1,        1 Cuenta corriente,-3820.355143,2019,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-3218.923301,2019,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-4302.645383,2019,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-3466.744137,2019,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-9266.813487,2020,Dato revisado,Anual,
1,        1 Cuenta corriente,-2295.19974,2020,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-1962.071266,2020,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-2012.545351,2020,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-2996.99713,2020,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-17949.402975,2021,Dato revisado,Anual,
1,        1 Cuenta corriente,-3105.093315,2021,Dato revisado,Trimestral,Q1
1,        1 Cuenta corriente,-4047.233445,2021,Dato revisado,Trimestral,Q2
1,        1 Cuenta corriente,-4834.834525,2021,Dato revisado,Trimestral,Q3
1,        1 Cuenta corriente,-5962.24169,2021,Dato revisado,Trimestral,Q4
1,        1 Cuenta corriente,-21224.184453,2022,Dato provisional,Anual,
1,        1 Cuenta corriente,-5483.191677,2022,Dato provisional,Trimestral,Q1
1,        1 Cuenta corriente,-4852.271253,2022,Dato provisional,Trimestral,Q2
1,        1 Cuenta corriente,-6193.027448,2022,Dato provisional,Trimestral,Q3
1,        1 Cuenta corriente,-4695.694075,2022,Dato provisional,Trimestral,Q4
1,        1 Cuenta corriente,-8623.192402,2023,Dato provisional,Anual,
1,        1 Cuenta corriente,-2869.878659,2023,Dato provisional,Trimestral,Q1
1,        1 Cuenta corriente,-2154.709962,2023,Dato provisional,Trimestral,Q2
1,        1 Cuenta corriente,-1645.369218,2023,Dato provisional,Trimestral,Q3
1,        1 Cuenta corriente,-1953.234563,2023,Dato provisional,Trimestral,Q4
1,        1 Cuenta corriente,-5325.285003,2024,Dato preliminar,Anual,
1,        1 Cuenta corriente,-1990.464486,2024,Dato preliminar,Trimestral,Q1
1,        1 Cuenta corriente,-1665.604266,2024,Dato preliminar,Trimestral,Q2
1,        1 Cuenta corriente,-1669.216251,2024,Dato preliminar,Trimestral,Q3
2,               Crédito (exportaciones),18747.7513599,2000,Dato revisado,Anual,
2,               Crédito (exportaciones),4469.6180658,2000,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),4513.497449,2000,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),4869.7363157,2000,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),4894.8995294,2000,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),18618.5594458,2001,Dato revisado,Anual,
2,               Crédito (exportaciones),4408.0250861,2001,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),4776.6622404,2001,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),4833.4235241,2001,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),4600.4485952,2001,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),17920.339315,2002,Dato revisado,Anual,
2,               Crédito (exportaciones),4141.3311059,2002,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),4603.8966642,2002,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),4558.2072003,2002,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),4616.9043446,2002,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),19854.4135128,2003,Dato revisado,Anual,
2,               Crédito (exportaciones),4425.5549409,2003,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),4847.893438,2003,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),5443.4326412,2003,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),5137.5324927,2003,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),24335.5353048,2004,Dato revisado,Anual,
2,               Crédito (exportaciones),5076.7693901,2004,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),5821.8559433,2004,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),6489.9707299,2004,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),6946.9392415,2004,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),30016.7168749,2005,Dato revisado,Anual,
2,               Crédito (exportaciones),6538.6042669,2005,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),7718.9948614,2005,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),7701.0797493,2005,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),8058.0379973,2005,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),35382.2376697,2006,Dato revisado,Anual,
2,               Crédito (exportaciones),7937.8261022,2006,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),8723.2109385,2006,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),9127.7344861,2006,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),9593.4661429,2006,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),42553.530931,2007,Dato revisado,Anual,
2,               Crédito (exportaciones),9021.82604,2007,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),10233.605115,2007,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),10902.946171,2007,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),12395.153605,2007,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),51634.744893,2008,Dato revisado,Anual,
2,               Crédito (exportaciones),12052.553877,2008,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),13893.585845,2008,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),13803.160638,2008,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),11885.444533,2008,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),46328.67124,2009,Dato revisado,Anual,
2,               Crédito (exportaciones),10904.005771,2009,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),11103.071353,2009,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),11658.781257,2009,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),12662.812859,2009,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),54321.490578,2010,Dato revisado,Anual,
2,               Crédito (exportaciones),12503.681026,2010,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),13436.284173,2010,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),13467.74448,2010,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),14913.780899,2010,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),73817.316935,2011,Dato revisado,Anual,
2,               Crédito (exportaciones),16340.441097,2011,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),18724.785082,2011,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),18855.853709,2011,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),19896.237047,2011,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),78956.972014,2012,Dato revisado,Anual,
2,               Crédito (exportaciones),19933.101693,2012,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),19532.205554,2012,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),19247.416252,2012,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),20244.248515,2012,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),78420.426577,2013,Dato revisado,Anual,
2,               Crédito (exportaciones),18593.389019,2013,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),20005.058329,2013,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),19459.002146,2013,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),20362.977083,2013,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),75609.983217,2014,Dato revisado,Anual,
2,               Crédito (exportaciones),18284.706425,2014,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),19411.251861,2014,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),20312.840417,2014,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),17601.184514,2014,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),58166.47657,2015,Dato revisado,Anual,
2,               Crédito (exportaciones),14771.142646,2015,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),15013.673768,2015,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),14629.648407,2015,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),13752.011749,2015,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),54747.60771,2016,Dato revisado,Anual,
2,               Crédito (exportaciones),12091.107634,2016,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),13653.903585,2016,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),13955.596427,2016,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),15047.000064,2016,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),62655.066192,2017,Dato revisado,Anual,
2,               Crédito (exportaciones),14430.257844,2017,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),15130.540204,2017,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),15881.981396,2017,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),17212.286748,2017,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),68799.732056,2018,Dato revisado,Anual,
2,               Crédito (exportaciones),16147.118063,2018,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),17297.564613,2018,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),17452.206449,2018,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),17902.842931,2018,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),68318.338788,2019,Dato revisado,Anual,
2,               Crédito (exportaciones),16551.39641,2019,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),17745.923948,2019,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),16914.940906,2019,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),17106.077524,2019,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),52420.199987,2020,Dato revisado,Anual,
2,               Crédito (exportaciones),15112.769243,2020,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),10693.135836,2020,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),12665.91422,2020,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),13948.380688,2020,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),68782.564587,2021,Dato revisado,Anual,
2,               Crédito (exportaciones),14935.782352,2021,Dato revisado,Trimestral,Q1
2,               Crédito (exportaciones),15809.202912,2021,Dato revisado,Trimestral,Q2
2,               Crédito (exportaciones),17606.13178,2021,Dato revisado,Trimestral,Q3
2,               Crédito (exportaciones),20431.447543,2021,Dato revisado,Trimestral,Q4
2,               Crédito (exportaciones),93839.74544,2022,Dato provisional,Anual,
2,               Crédito (exportaciones),21680.036818,2022,Dato provisional,Trimestral,Q1
2,               Crédito (exportaciones),24527.360716,2022,Dato provisional,Trimestral,Q2
2,               Crédito (exportaciones),24540.142017,2022,Dato provisional,Trimestral,Q3
2,               Crédito (exportaciones),23092.205889,2022,Dato provisional,Trimestral,Q4
2,               Crédito (exportaciones),91700.112012,2023,Dato provisional,Anual,
2,               Crédito (exportaciones),22669.572481,2023,Dato provisional,Trimestral,Q1
2,               Crédito (exportaciones),22291.023781,2023,Dato provisional,Trimestral,Q2
2,               Crédito (exportaciones),23226.372223,2023,Dato provisional,Trimestral,Q3
2,               Crédito (exportaciones),23513.143527,2023,Dato provisional,Trimestral,Q4
2,               Crédito (exportaciones),70596.627733,2024,Dato preliminar,Anual,
2,               Crédito (exportaciones),22147.987027,2024,Dato preliminar,Trimestral,Q1
2,               Crédito (exportaciones),24098.476054,2024,Dato preliminar,Trimestral,Q2
2,               Crédito (exportaciones),24350.164652,2024,Dato preliminar,Trimestral,Q3
3,               Débito (importaciones),17902.3472768,2000,Dato revisado,Anual,
3,               Débito (importaciones),4378.4594686,2000,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),4436.0033215,2000,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),4506.3421677,2000,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),4581.542319,2000,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),19658.8873664,2001,Dato revisado,Anual,
3,               Débito (importaciones),4885.56395,2001,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),5067.5824376,2001,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),4856.2064123,2001,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),4849.5345665,2001,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),19209.5419848,2002,Dato revisado,Anual,
3,               Débito (importaciones),4376.9290089,2002,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),4952.7142842,2002,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),4863.559271,2002,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),5016.3394207,2002,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),20766.417897,2003,Dato revisado,Anual,
3,               Débito (importaciones),5030.9767262,2003,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),4918.1514319,2003,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),5384.0733929,2003,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),5433.216346,2003,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),25110.0912558,2004,Dato revisado,Anual,
3,               Débito (importaciones),5667.9144686,2004,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),6032.0803971,2004,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),6370.6769339,2004,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),7039.4194562,2004,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),31964.4796432,2005,Dato revisado,Anual,
3,               Débito (importaciones),7090.116415,2005,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),8004.2633498,2005,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),8578.422403,2005,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),8291.6774754,2005,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),38373.2741931,2006,Dato revisado,Anual,
3,               Débito (importaciones),8607.1724631,2006,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),9430.5977812,2006,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),9902.7577388,2006,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),10432.74621,2006,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),48703.169919,2007,Dato revisado,Anual,
3,               Débito (importaciones),11113.161091,2007,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),11687.247965,2007,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),12365.806334,2007,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),13536.954529,2007,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),58132.030635,2008,Dato revisado,Anual,
3,               Débito (importaciones),13364.847261,2008,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),15050.93661,2008,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),15464.240295,2008,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),14252.006469,2008,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),50761.682166,2009,Dato revisado,Anual,
3,               Débito (importaciones),11836.184805,2009,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),11863.992091,2009,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),12955.051021,2009,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),14106.454249,2009,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),62904.504777,2010,Dato revisado,Anual,
3,               Débito (importaciones),13764.501787,2010,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),14842.039747,2010,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),16678.094122,2010,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),17619.869121,2010,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),83551.818728,2011,Dato revisado,Anual,
3,               Débito (importaciones),18343.40688,2011,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),20450.89614,2011,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),21886.700799,2011,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),22870.814909,2011,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),90596.971064,2012,Dato revisado,Anual,
3,               Débito (importaciones),21771.363351,2012,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),22767.664539,2012,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),22843.658791,2012,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),23214.284383,2012,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),90785.556326,2013,Dato revisado,Anual,
3,               Débito (importaciones),22032.547249,2013,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),22211.002673,2013,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),23055.2216,2013,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),23486.784804,2013,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),95428.528849,2014,Dato revisado,Anual,
3,               Débito (importaciones),22409.417951,2014,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),23600.536376,2014,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),25346.246309,2014,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),24072.328213,2014,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),76868.70623,2015,Dato revisado,Anual,
3,               Débito (importaciones),20063.071661,2015,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),19440.047947,2015,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),19685.421689,2015,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),17680.164933,2015,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),67334.169283,2016,Dato revisado,Anual,
3,               Débito (importaciones),15615.897992,2016,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),16448.320376,2016,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),17556.738575,2016,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),17713.21234,2016,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),72579.431709,2017,Dato revisado,Anual,
3,               Débito (importaciones),17919.779622,2017,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),17556.096653,2017,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),18442.629676,2017,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),18660.925758,2017,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),82840.692817,2018,Dato revisado,Anual,
3,               Débito (importaciones),19169.670097,2018,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),20768.494681,2018,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),20858.224997,2018,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),22044.303042,2018,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),83127.006751,2019,Dato revisado,Anual,
3,               Débito (importaciones),20371.751553,2019,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),20964.847248,2019,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),21217.586289,2019,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),20572.821661,2019,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),61687.013473,2020,Dato revisado,Anual,
3,               Débito (importaciones),17407.968983,2020,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),12655.207101,2020,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),14678.459571,2020,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),16945.377818,2020,Dato revisado,Trimestral,Q4
3,               Débito (importaciones),86731.967562,2021,Dato revisado,Anual,
3,               Débito (importaciones),18040.875667,2021,Dato revisado,Trimestral,Q1
3,               Débito (importaciones),19856.436356,2021,Dato revisado,Trimestral,Q2
3,               Débito (importaciones),22440.966306,2021,Dato revisado,Trimestral,Q3
3,               Débito (importaciones),26393.689233,2021,Dato revisado,Trimestral,Q4
