typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","200","Total EBOPS 2002 Services ","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","15510431032.232",,"15510431032.232","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","205","1. Transportation","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2737035281.619",,"2737035281.619","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","236","2. Travel","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7557031900.8",,"7557031900.8","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","245","3. Communications services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","221797585.626",,"221797585.626","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","249","4. Construction services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1355371.557",,"1355371.557","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","253","5. Insurance services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","23906689.967",,"23906689.967","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","260","6. Financial services","3","true","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","152447947.575",,"152447947.575","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","262","7. Computer and information services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","1440294976.315",,"1440294976.315","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","266","8. Royalties and license fees","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","215750903.609",,"215750903.609","0","true","false",
"S","A","20230101","2023","52","2023","170","COL","Colombia","X","Export","0","W00","World","0","W00","World","EB02","EB02","false","268","9. Other business services","3","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2770828528.96",,"2770828528.96","0","true","false",
