Fecha (dd/mm/aaaa) ,Clasificación de la Entidad,Clase de Cuenta,Orden,Cuenta,Tasa (%),Monto (COP)
05/08/2008,Total establecimientos,CDT,111,A 180 días,8.73962661061099,40031.98786
05/08/2008,Total establecimientos,CDT,113,A 360 días,9.31805193868658,17897.10551
05/09/2008,Total establecimientos,CDT,107,A 90 días,8.24829381474095,30550.96968
05/09/2008,Total establecimientos,CDT,111,A 180 días,9.02398564859297,35858.60111
05/09/2008,Total establecimientos,CDT,113,A 360 días,7.08054648454517,4663.3267
05/12/2008,Total establecimientos,CDT,107,A 90 días,9.66884604604881,156554.1387
05/12/2008,Total establecimientos,CDT,111,A 180 días,9.40040740808319,73497.4048
05/12/2008,Total establecimientos,CDT,113,A 360 días,10.0685051562153,35281.31077
05/13/2008,Total establecimientos,CDT,107,A 90 días,9.95219188035202,151676.5152
05/13/2008,Total establecimientos,CDT,111,A 180 días,9.68780471424017,71185.78396
05/13/2008,Total establecimientos,CDT,113,A 360 días,10.3012960700725,26389.17646
05/14/2008,Total establecimientos,CDT,107,A 90 días,9.79768723091728,158857.59424
05/14/2008,Total establecimientos,CDT,111,A 180 días,10.0527117250018,87859.52111
05/14/2008,Total establecimientos,CDT,113,A 360 días,7.48769481878935,9886.30765
05/15/2008,Total establecimientos,CDT,107,A 90 días,9.80884421606929,116294.76365
05/15/2008,Total establecimientos,CDT,111,A 180 días,9.28249166379147,33493.80616
05/15/2008,Total establecimientos,CDT,113,A 360 días,10.3217558385192,28093.465
05/16/2008,Total establecimientos,CDT,107,A 90 días,8.56735022950285,38931.38553
05/16/2008,Total establecimientos,CDT,111,A 180 días,8.92059209372351,36844.39813
05/16/2008,Total establecimientos,CDT,113,A 360 días,9.33685259106002,9517.40237
05/19/2008,Total establecimientos,CDT,107,A 90 días,9.79058219459955,170751.07196
05/19/2008,Total establecimientos,CDT,111,A 180 días,9.9272930476612,126706.24688
05/19/2008,Total establecimientos,CDT,113,A 360 días,9.55059089258191,23382.1081
05/20/2008,Total establecimientos,CDT,107,A 90 días,9.31874043211154,67179.71178
05/20/2008,Total establecimientos,CDT,111,A 180 días,9.74499943213511,48013.35452
05/20/2008,Total establecimientos,CDT,113,A 360 días,7.6060045986715,6108.15819
05/21/2008,Total establecimientos,CDT,107,A 90 días,9.69377493290847,110315.75797
05/21/2008,Total establecimientos,CDT,111,A 180 días,9.57657491509172,49343.59793
