nordemp	nordest	dpto	ciiu4	periodo	c4r1c1n	c4r1c2n	c4r2c1e	c4r2c2e	c4r1c1	c4r1c2	c4r1c3	c4r1c4	c4r4c1t	c4r4c2t	c4r1c3n	c4r1c4n	c4r2c3e	c4r2c4e	c4r2c1	c4r2c2	c4r2c3	c4r2c4	c4r4c3t	c4r4c4t	c4r1c5n	c4r1c6n	c4r2c5e	c4r2c6e	c4r3c1	c4r3c2	c4r3c3	c4r3c4	c4r4c5t	c4r4c6t	c4r1c7n	c4r1c8n	c4r2c7e	c4r2c8e	c4r4c1	c4r4c2	c4r4c3	c4r4c4	c4r4c7t	c4r4c8t	c4r6mn	c4r6hn	c4r6me	c4r6he	c4r6om	c4r6oh	c4r6dm	c4r6dh	c4r6tm	c4r6th	c4r1c9n	c4r1c10n	c4r2c9e	c4r2c10e	c4r5c1	c4r5c2	c4r5c3	c4r5c4	c4r4c9t	c4r4c10t	c3r2pt	c3r2c1	c3r2c2	c3r2c3	c3r3pt	c3r3c1	c3r3c2	c3r3c3	c3r4pt	c3r4c1	c3r4c2	c3r4c3	c3r5pt	c3r5c1	c3r5c2	c3r5c3	c3r6pt	c3r6c1	c3r6c2	c3r6c3	c3r7pt	c3r7c1	c3r7c2	c3r7c3	c3r8pt	c3r8c1	c3r8c2	c3r8c3	r1csap	r2csap	r3csap	r4csap	c3r9pt	c3r9c1	c3r9c2	c3r9c3	c3r10pt	c3r10c1	c3r10c2	c3r10c3	c3r44c2	c3r44c3	c3r40c2	c3r40c3	c3r14c1	c3r14c3	c3r41c1	c3r41c2	c3r41c3	c3r13c1	c3r13c2	c3r13c3	c3r45c2	c3r45c3	c3r15c1	c3r15c2	c3r15c3	c3r16c1	c3r16c2	c3r16c3	c3r17c1	c3r17c2	c3r17c3	c3r18c1	c3r18c2	c3r18c3	c3r21c1	c3r21c2	c3r21c3	c3r36c1	c3r36c2	c3r36c3	c3r22c1	c3r22c2	c3r22c3	c3r25c2	c3r25c3	C3R20C1	C3R20C2	C3R20C3	c3r23c1	c3r23c2	c3r23c3	c3r42c1	c3r42c2	c3r42c3	c3r24c1	c3r24c2	c3r24c3	c3r37c1	c3r37c2	c3r37c3	c3r38c2	c3r38c3	c3r26c2	c3r26c3	c3r31c2	c3r31c3	c3r27c1	c3r27c2	c3r27c3	c3r46c2	c3r46c3	c3r35c1	c3r35c2	c3r35c3	c5r1c1	c3r19c3	c5r1c2	c5r1c3	c5r1c5	c5r1c4	c5r1c7	c6r1c1	c6r1c3	c6r2c1	c6r2c3	c6r3c1	c6r3c3	c6r4c1	c6r4c3	c6r5c1	c6r5c3	c7r1c1	c7r5c1	c7r6c1	c7c4r1	c7c5r1	c7r8c1	c7r10c1	c7c2r2	c7c3r2	c7c4r2	c7c5r2	c7c6r2	c7c7r2	c7c1r3	c7c2r3	c7c3r3	c7c4r3	c7c5r3	c7c6r3	c7c7r3	c7c2r4	c7c3r4	c7c4r4	c7c5r4	c7c6r4	c7c7r4	c7c2r5	c7c7r5	c7c1r19	c7c2r19	c7c3r19	c7c4r19	c7c5r19	c7c6r19	c7c7r19	c7c3r6	c7c4r6	c7c5r6	c7c7r6	c7c2r7	c7c3r7	c7c4r7	c7c5r7	c7c6r7	c7c7r7	c7r1c2	c7r5c2	c7r6c2	c7c4r8	c7c5r8	c7r8c2	c7r10c2	c7r1c4	c7r5c4	c7r6c4	c7c4r10	c7c5r10	c7r8c4	c7r10c4	c7c2r11	c7c3r11	c7c4r11	c7c5r11	c7c6r11	c7c7r11	c7c1r12	c7c2r12	c7c3r12	c7c4r12	c7c5r12	c7c6r12	c7c7r12	c7c2r13	c7c3r13	c7c4r13	c7c5r13	c7c6r13	c7c7r13	c7r1c6	c7r5c6	c7r6c6	c7c4r14	c7c5r14	c7r8c6	c7r10c6	c7r5c7	c7r6c7	c7c4r15	c7c5r15	c7r8c7	c7r10c7	c7r16c1	c7r16c2	c7r16c3	c7r16c4	c7r16c5	c7r16c6	c7r16c7	c7r17c2	c7r17c3	c7r17c4	c7r17c5	c7r17c6	c7r17c7	c7r18c2	c7r18c3	c7r18c4	c7r18c5	c7r18c6	c7r18c7	c2r5CERT	PETROC	PETROV	PETROAUTO	PETROCO	DIESC	DIESV	DIESAUTO	DIESCO	FUELC	FUELV	FUELAUTO	FUELCO	GASOLC	GASOLV	GASOLAUTO	GASOLCO	KEROSC	KEROSV	KEROSAUTO	KEROSCO	GASNC	GASNV	GASNAUTO	GASNCO	GASPC	GASPV	GASPAUTO	GASPCO	CARBONMC	CARBONMV	CARBONMAUTO	CARBONMCO	CARBONCC	CARBONCV	CARBONCAUTO	CARBONCCO	CARBONVC	CARBONVV	CARBONVAUTO	CARBONVCO	LENAC	LENAV	LENAAUTO	LENACO	BAGAC	BAGAV	BAGAAUTO	BAGACO	CASCAC	CASCAV	CASCAAUTO	CASCACO	CASCAFC	CASCAFV	CASCAFAUTO	CASCAFCO	RESPALC	RESPALV	RESPALAUTO	RESPALCO	TOTALV	PRODBR2	PRODBIND	CONSMATE	CONSIN	CONSIN2	PRESSPER	SALARPER	PRESPYTE	SALPEYTE	EELEC	REMUTEMP	INVEBRTA	ACTIVFI	DEPRECIA	PERTOTAL	PERTEM3	PERSOCU	PERSOESC	PPERYTEM	PERAPREN	SALAPREN	VALAGRI	VALORCOM	VALORCX	PORCVT	VALORVEN
145779	145680	50	2029	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	14	9	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	9	14	9	15	0	19296	691329	710625	0	5209	209963	215172	0	0	0	0	0	4824	119001	123825	0	1736	30733	32469	0	0	0	0	0	0	0	0	0	0	0	0	0	9537	186975	196512	0	40602	1238001	1278603	7146538	7146538	246191	246191	0	0	0	0	0	0	0	0	0	0	0	122414	122414	0	61774	61774	0	0	0	0	35576	35576	405	2465	2870	0	12571	12571	0	1596	1596	37779	37779	0	0	0	28650	157051	185701	0	0	0	0	0	0	0	22871	22871	2399	2399	0	0	0	0	0	114612	114612	10924	10924	29055	7974761	8003816	82095	52540	0	0	0	82095	0	0	0	0	0	7394	9748	653377	1132	660771	10880	0	0	926143	28871	98117	119540	1172671	0	83018	3758	85068	167442	339286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83018	3758	85068	167442	339286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1009161	32629	183185	286982	1511957	0	102856	7339	21772	19756	151723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	130611	130611	1	81595	81596	215172	710625	371466	710625	82095	0	339286	1511957	151723	24	0	24	24	24	0	0	49015	0	0	0	130611
145781	145682	50	3290	2023	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	1	1	6	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	3	1	1	1	6	2	35055	106907	39645	181607	7644	23306	8643	39593	0	0	0	0	7370	22475	9163	39008	3155	9622	3924	16701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53224	162310	61375	276909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24300	24300	23940	0	23940	0	0	0	3423	0	3423	0	1858	1858	0	4479	4479	0	37	37	0	0	0	0	0	15903	1030	16933	0	0	0	0	0	0	0	4065	4065	2234	2234	0	0	0	0	0	0	0	0	0	43266	38003	81269	16511	7861	0	0	0	16511	0	0	0	0	0	0	0	0	0	0	0	0	0	266709	14020	5840	10517	297086	0	0	2710	0	0	2710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2710	0	0	2710	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	266709	16730	5840	10517	299796	0	74836	1054	1055	9899	86844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	824935	824935	372456	51127	423583	39593	181607	95302	181607	16511	0	2710	299796	86844	8	0	8	8	8	0	0	401352	372456	0	0	824935
145790	145692	20	3290	2023	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	14	1	1	3	16	0	1	0	0	0	6	6	28	6	35	0	1	0	0	0	3	2	8	2	12	0	0	0	0	0	0	2	1	2	1	1	3	0	0	1	23	11	38	13	64	23200	222673	153875	399747	5064	48743	20547	74355	39742	151020	963034	1153796	9341	38153	199539	247034	2512	8743	50223	61478	0	0	0	0	19758	64290	316653	400700	0	0	32825	32825	7062	32139	216079	255279	115007	597408	2356396	3068811	2565414	2565414	27533	27533	16667	16667	0	0	0	0	0	0	4920975	4920975	9486	54622	64108	0	0	0	15599	23907	39505	0	77549	77549	25817	13433	39250	1623	67212	68835	0	593252	593252	15664	15664	0	0	0	427669	728306	1155974	144751	0	144751	0	0	0	0	553218	553218	59225	59225	413	413	120142	120142	133778	795598	929376	50780	50780	775388	10667244	11442632	567858	326951	0	0	0	567858	0	1237866	1567140	128394	25679	879914	395815	393222	115714	2639395	2104348	10733872	7263057	10098199	324541	140611	1948311	30508590	716667	641681	43843	11668	118599	1532458	0	0	0	0	0	0	0	0	0	0	0	0	0	7670	7670	0	0	0	0	0	0	0	31057	0	0	31057	0	0	0	0	0	0	0	724337	672738	43843	11668	118599	1571185	0	0	0	0	0	0	0	0	243686	57406	6636	27116	334843	0	0	0	0	0	74199	74199	0	0	0	0	74199	74199	10733872	7900684	10604784	325369	145643	1965594	31675945	332921	1038747	60356	14899	342744	1789668	0	0	0	0	0	0	0	494062	15148	0	2382	0	511592	407353	92681	14390	2382	0	516806	0	0	0	0	0	19	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	92834	218643	0	0	3748	6404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225205	11012760	11115475	2969195	1277816	4247011	74355	399747	729005	1207405	567858	1153796	1496985	31675945	1789668	77	41	19	19	60	3	32825	6765749	2619095	0	0	10924976
145792	145690	11	1811	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	2	2	9	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	7	3	3	2	10	5	0	217274	93153	310427	0	53505	23603	77108	0	0	0	0	0	29771	9259	39030	0	8241	3657	11898	0	0	0	0	0	0	0	0	0	0	3908	3908	0	13514	33594	47108	0	322305	167174	489479	0	0	0	0	80618	80618	113359	0	113359	0	0	0	0	0	0	27790	27790	0	2190	2190	0	0	0	0	0	0	1448	154	1602	0	1573	1573	0	0	0	8051	8051	0	0	0	28278	37851	66129	567	0	567	0	0	0	0	12214	12214	2721	2721	0	0	67637	67637	36461	77092	113553	11049	11049	260731	248322	509053	26487	16925	0	0	0	26487	0	0	0	0	0	0	0	0	0	0	0	103448	372004	235576	5305	11549	29279	757161	0	0	3819	0	0	3819	0	101896	0	0	0	0	101896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101896	0	3819	0	0	105715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103448	473900	235576	9124	11549	29279	862876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1159493	1159493	553352	127836	681188	77108	310427	128036	310427	26487	0	105715	862876	0	15	0	14	14	14	1	3908	478305	553352	0	0	1159493
145793	145694	99	1040	2023	0	0	0	0	0	0	0	0	0	0	0	2	0	0	20	32	2	1	22	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	2	0	0	20	32	3	1	23	35	172823	1139656	95960	1408439	43206	265546	22287	331038	14858	0	4640	19498	25185	170271	14552	210008	7745	45790	4329	57864	0	294	0	294	0	0	0	0	934	0	5033	5967	47240	256610	14554	318404	315705	1878167	162368	2356240	323794	323794	13296	13296	50397	50397	0	0	0	0	0	0	503808	503808	200395	7885	208280	0	0	0	0	0	0	11711	0	11711	156461	0	156461	19955	107	20062	1771	0	1771	77380	77380	0	0	0	165424	581	166005	11893	0	11893	0	0	0	0	80711	80711	0	0	17	17	104586	104586	1488285	161991	1650276	33699	33699	2106292	1307854	3414146	689972	454238	48054	0	0	738026	0	176903	83947	0	0	1166261	1072931	9297	14688	1352461	1171567	148578	2332310	6584297	112680	342950	39381	9560196	0	97781	4926	1298	93365	197370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97781	4926	1298	93365	197370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	148578	2332310	6682079	117606	344248	132746	9757567	245984	10784	632	316	2853	260568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1807	16226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83900	236178	4	0	135	73635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	326040	53474308	53474308	33803458	1396514	35199972	331038	1408439	605054	1422088	738026	19498	197370	9757567	260568	58	0	57	57	57	1	5967	18274336	33838984	0	0	37372065
145794	144001	50	1031	2023	0	0	0	0	0	0	0	0	0	0	7	19	0	0	2	37	6	2	15	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	0	0	0	2	2	9	21	0	0	2	37	6	2	17	60	527728	1307616	117313	1952657	127965	320130	28268	476363	0	0	0	0	91862	271181	17911	380954	22618	55988	4877	83483	0	0	0	0	0	0	0	0	53124	0	0	53124	119899	572747	18219	710865	943196	2527662	186588	3657446	0	0	0	0	0	0	142204	3527	145731	0	0	0	0	0	114838	324724	439562	34635	16034	50669	0	32000	32000	6312	0	6312	15995	1026	17021	17841	7485	25326	0	0	0	263930	263930	0	0	0	1998327	10223	2008550	221928	0	221928	0	0	0	0	364989	364989	1440	1440	0	0	203609	203609	2228171	259878	2488049	34563	34563	4780251	1523428	6303679	1283438	829366	0	0	0	1283438	0	0	0	0	0	1552190	2061056	0	0	1552190	2061056	30000	747140	8894095	206431	197016	0	10074682	0	781668	41854	90131	0	913653	120000	0	0	0	0	0	120000	0	0	0	0	0	0	1147313	1147313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120000	1147313	781668	41854	90131	0	2180966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150000	1894453	9675763	248285	287147	0	12255648	28287	688338	29865	70720	0	817210	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52994958	52994958	40565891	3239242	43805133	476363	1952657	940800	1952657	1283438	0	2180966	12255648	817210	77	0	73	73	73	4	53124	9189825	40565891	0	11918659	52067164
145796	145696	17	2599	2023	0	0	0	0	0	0	0	0	0	0	2	23	0	0	9	30	2	2	13	55	0	0	0	0	2	4	0	0	2	4	0	0	0	0	10	7	0	0	10	7	0	0	0	0	0	0	0	0	0	0	2	23	0	0	21	41	2	2	25	66	485473	635874	124785	1246133	117198	189718	25556	332472	0	75570	13820	89390	83610	133732	26746	244088	20634	36182	9430	66246	0	0	0	0	0	364125	7482	371607	0	59680	14883	74563	20210	75088	13458	108757	727126	1600348	239655	2567128	78000	78000	0	0	0	0	0	0	0	0	0	0	22007	22007	733	24146	24880	9380	14485	23865	0	0	0	19883	17750	37633	12626	1531	14158	346	4342	4688	0	188629	188629	44866	44866	0	0	0	78771	3433	82204	6104	0	6104	0	0	0	0	42230	42230	39788	39788	0	0	331959	331959	23708	70708	94416	85049	85049	151552	968924	1120476	292968	188864	0	0	0	292968	0	1602700	1224497	435825	196183	526787	352111	33506	32853	2598818	1805644	1860807	2432467	3379943	50849	46451	17329	7787846	0	0	0	0	63333	63333	0	8298	48551	18717	5607	18813	99987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8298	48551	18717	5607	82147	163320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1860807	2440765	3426509	69567	52058	99476	7949181	59991	116146	11939	5522	9214	202812	0	0	1985	0	0	0	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	473	0	0	14367	29896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30369	7107152	7346794	3545489	711201	4256690	332472	1246133	669623	1308705	292968	89390	163320	7949181	202812	91	6	68	68	74	1	74563	2850462	3187655	235034	0	2129958
145799	145699	17	1523	2023	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	12	1	1	33	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	33	12	1	1	34	13	0	0	0	0	0	0	0	0	8261	638051	31440	677752	3023	106569	2411	112003	1127	26132	534	27793	0	0	0	0	0	1005	0	1005	0	8711	0	8711	54218	55901	0	110119	68364	973482	37258	1079103	0	0	0	0	0	0	0	0	0	0	0	0	2416	2416	7791	13982	21773	43896	0	43896	0	0	0	1633	1584	3217	10256	444	10700	1909	2262	4171	56273	0	56273	7208	7208	0	0	0	6968	9868	16835	2926	0	2926	674	0	674	0	10454	10454	3016	3016	0	0	21255	21255	30391	31856	62247	21664	21664	162716	126009	288725	24051	17142	0	0	0	24051	0	23927	0	0	0	0	0	0	0	23927	0	0	0	380958	16325	47001	259058	703343	0	83793	883	0	102478	187153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83793	883	0	102478	187153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464751	17208	47001	361536	890496	0	34770	367	760	70999	106896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325	1738293	1738293	222829	94525	317354	0	0	343122	474427	24051	677752	187153	890496	106896	47	46	0	0	46	1	8711	1420939	198903	0	0	1738293
145801	145701	17	1081	2023	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	8	4	0	4	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	4	0	4	9	0	111360	55680	167040	0	24808	12386	37194	0	0	0	0	0	15272	7625	22897	0	4604	2298	6902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	156044	77989	234033	61937	61937	0	0	0	0	0	0	0	0	0	0	4535	4535	0	0	0	0	0	0	0	0	0	15733	0	15733	2920	2302	5222	1198	1928	3126	0	1200	1200	0	0	0	0	0	690	133	823	0	0	0	0	1038	1038	0	2813	2813	287	287	0	0	0	0	0	0	0	0	0	20541	76173	96714	42258	32242	0	0	0	42258	0	5123	6025	0	0	0	0	12534	15221	17657	21246	191158	210749	92534	5212	25793	47906	573352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	191158	210749	92534	5212	25793	47906	573352	443	9253	1042	2579	4791	18108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15116	40677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40677	1630223	1630223	720907	93460	814367	37194	167040	66993	167040	42258	0	0	573352	18108	13	0	12	13	12	0	0	815856	720907	0	0	1630223
145802	145702	17	2599	2023	0	0	0	0	0	0	0	0	0	0	2	23	0	0	9	30	2	2	13	55	0	0	0	0	2	4	0	0	2	4	0	0	0	0	10	7	0	0	10	7	0	0	0	0	0	0	0	0	0	0	2	23	0	0	21	41	2	2	25	66	485473	635874	124785	1246133	117198	189718	25556	332472	0	75570	13820	89390	83610	133732	26746	244088	20634	36182	9430	66246	0	0	0	0	0	364125	7482	371607	0	59680	14883	74563	20210	75088	13458	108757	727126	1600348	239655	2567128	78000	78000	0	0	0	0	0	0	0	0	0	0	22007	22007	733	24146	24880	9380	14485	23865	0	0	0	19883	17750	37633	12626	1531	14158	346	4342	4688	0	188629	188629	44866	44866	0	0	0	78771	3433	82204	6104	0	6104	0	0	0	0	42230	42230	39788	39788	0	0	331959	331959	23708	70708	94416	85049	85049	151552	968924	1120476	292968	188864	0	0	0	292968	0	1602700	1224497	435825	196183	526787	352111	33506	32853	2598818	1805644	1860807	2432467	3379943	50849	46451	17329	7787846	0	0	0	0	63333	63333	0	8298	48551	18717	5607	18813	99987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8298	48551	18717	5607	82147	163320	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1860807	2440765	3426509	69567	52058	99476	7949181	59991	116146	11939	5522	9214	202812	0	0	1985	0	0	0	1985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	176	473	0	0	14367	29896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30369	7107152	7346794	3545489	711201	4256690	332472	1246133	669623	1308705	292968	89390	163320	7949181	202812	91	6	68	68	74	1	74563	2850462	3187655	235034	0	2129958
145803	145703	73	2395	2023	0	0	0	0	0	0	0	0	0	0	1	4	0	0	1	17	4	3	6	24	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	9	0	0	0	10	0	0	0	0	0	0	0	0	0	0	1	5	0	0	1	26	4	3	6	34	187742	468419	217698	873859	38109	122037	47893	208040	0	0	0	0	29538	90126	35424	155088	6176	18000	9401	33578	0	0	0	0	98859	494509	0	593368	10383	0	2333	12716	19134	112790	25852	157776	389942	1305881	338601	2034424	0	0	0	0	6199	6199	116570	16988	133557	0	0	0	0	0	166951	112118	279070	39046	7852	46898	1292	0	1292	149261	34385	183646	45017	112	45129	34770	2433	37202	174	14541	14715	62858	62858	0	0	0	1255143	5367	1260510	78603	0	78603	0	0	0	0	142219	142219	7079	7079	14605	14605	0	0	1260702	914010	2174712	9897	9897	3153727	1344464	4498191	97189	90725	0	0	0	97189	0	309009	303463	0	0	0	0	0	0	309009	303463	198100	474654	3292700	76451	50054	4362176	8454135	80401	342839	9429	8444	369821	810934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7077	0	0	7077	4482	15760	0	0	73400	93642	0	84883	365676	9429	8444	443220	911653	0	0	0	0	0	0	0	14487	2991	0	0	0	17478	0	0	0	0	0	0	0	0	0	0	0	0	0	198100	543310	3639472	85880	58498	4432827	8958087	35043	295147	13875	9736	337546	691347	0	0	0	0	0	0	0	1741	15913	0	0	456065	473719	0	0	0	0	83496	83496	0	0	0	0	0	60521	543894	0	0	0	0	0	0	617	5940	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	549834	26399139	26399139	14678005	3020338	17698343	208040	873859	396705	873859	97189	0	911653	8958087	691347	40	0	30	30	30	1	12716	8700796	14667020	0	0	26349395
145804	145704	17	1089	2023	0	0	0	0	0	0	0	0	0	0	11	18	0	0	52	65	13	9	76	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	1	0	4	3	14	21	0	0	52	65	14	9	80	95	1000901	2017348	878321	3896570	256045	502347	245480	1003872	0	0	0	0	164967	301873	129228	596068	41917	82609	63922	188448	0	0	0	0	0	0	0	0	52993	0	12625	65618	62668	204281	25497	292446	1579491	3108458	1355073	6043022	0	0	0	0	0	0	0	0	0	0	0	0	3341946	3341946	68138	269513	337651	138665	0	138665	24960	22620	47580	139788	287971	427759	37876	3520	41396	0	22891	22891	8925	33000	41925	217532	217532	0	0	0	601024	15326	616350	0	0	0	0	0	0	0	3088	3088	26748	26748	0	0	590530	590530	1946730	1535547	3482277	2128916	2128916	2966106	8499148	11465254	558130	343418	0	0	0	558130	0	1938067	2047838	0	36208	470191	240725	0	0	2408258	2324771	451814	6385344	10303494	192591	143824	229221	17706288	0	2116302	45260	5201	190500	2357263	0	0	0	0	0	0	0	684182	0	0	0	0	684182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	684182	2116302	45260	5201	190500	3041445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	131900	131900	0	0	0	0	42868	42868	451814	7069526	12419796	237851	149025	287821	20615833	199957	954124	49463	33387	12090	1249021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	627584	783735	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	783735	52673205	52621497	29177114	2137604	31314718	1003872	3896570	1788388	3896570	558130	0	2909545	20615833	1249021	175	0	168	168	168	7	65618	21358487	29455699	0	51333565	51956722
