DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
113756,3,,2,1,1,1,1,2,2,2,,2,1,645.49356898
113757,3,,2,1,1,1,1,2,2,2,,2,1,770.18260064
113758,3,,2,1,1,1,1,2,2,2,,2,1,770.18260064
113759,3,,2,1,1,1,1,2,2,2,,2,1,612.51391175
113760,3,,2,1,1,1,1,2,2,2,,2,1,645.49356898
113761,3,,1,1,2,1,2,1,1,1,3,1,1,622.09827572
113762,3,,1,1,1,1,2,2,1,1,3,1,1,921.62707514
113763,3,,1,1,2,1,1,1,1,1,3,1,1,954.86382266
113764,3,,1,1,2,1,1,1,1,1,3,1,1,825.14118257
113765,3,,1,1,1,1,1,1,1,1,3,1,1,675.85985511
113766,3,,1,1,1,1,4,1,1,1,3,1,1,447.12171028
113767,3,,1,1,1,1,4,1,1,1,3,1,1,416.67549171
113768,3,,1,1,1,1,4,1,1,1,3,1,1,544.0680464
113769,3,,1,1,1,1,4,1,1,1,3,1,1,447.12171028
113770,3,,1,1,1,1,2,2,2,1,2,1,1,84.847395334
113771,3,,1,1,1,1,2,1,1,1,3,1,1,790.65144512
113772,3,,1,1,3,1,2,1,1,1,3,1,1,992.34746635
113773,3,,1,1,1,1,2,1,1,1,3,1,1,614.01723858
113774,3,,1,1,1,1,2,1,1,1,3,1,1,743.13922464
113775,3,,1,1,1,1,2,1,1,1,3,1,1,1235.4556126
113776,3,,1,1,1,1,2,1,1,1,3,1,1,762.32419024
113777,3,,1,1,1,1,2,1,1,1,3,1,1,743.13922464
113778,3,,1,1,1,1,2,1,1,1,3,1,1,771.46647952
113779,3,,1,1,3,1,2,1,1,1,3,1,1,363.50215338
113780,3,,1,1,1,1,2,1,1,1,3,1,1,496.98103064
113781,3,,1,1,1,1,2,1,1,1,3,1,1,511.17490318
113782,3,,1,1,2,1,2,1,1,1,3,1,1,1203.9275993
113783,3,,1,1,2,1,2,1,1,1,3,1,1,1274.2709176
113784,3,,1,1,2,1,2,1,1,1,3,1,1,847.46499764
113785,3,,1,1,1,1,2,1,1,1,3,1,1,1135.6687266
113786,3,,1,1,1,1,2,1,1,1,3,1,1,890.44059962
113787,3,,1,1,2,1,1,1,1,1,3,1,1,1344.0241134
113788,3,,1,1,1,1,1,1,1,1,3,1,1,2113.2684696
113789,3,,1,1,1,1,1,1,1,1,3,1,1,1550.5429162
113790,3,,1,1,1,1,2,1,1,1,3,1,1,863.46174175
113791,3,,1,1,2,1,2,1,1,1,3,1,1,725.85843222
113792,3,,1,1,1,1,2,1,1,1,3,1,1,1193.624958
113793,3,,1,1,2,1,2,1,1,1,3,1,1,1050.7336374
113794,5,,1,1,1,1,1,1,1,1,3,1,1,584.85391018
113795,5,,1,1,2,1,1,1,1,1,3,1,1,584.49046081
113796,5,,1,1,2,1,1,1,1,1,3,1,1,652.0783191
113797,5,,1,1,1,1,1,1,1,1,3,1,1,530.07289408
113798,5,,1,1,3,1,1,1,1,1,3,1,1,639.31657988
113799,5,,1,1,1,1,1,1,1,1,2,1,1,707.42536133
113800,5,,1,1,2,1,1,1,1,1,3,1,1,677.55669458
113801,5,,1,1,1,1,1,1,1,1,2,1,1,497.4526539
113802,5,,1,1,1,1,1,1,1,1,3,1,1,526.75529452
113803,5,,1,1,1,1,1,1,1,1,3,1,1,619.45807893
113804,5,,1,1,1,1,2,1,1,1,3,1,1,1309.9787661
113805,5,,1,1,1,1,2,1,1,1,3,1,1,1159.942699
113806,5,,1,1,1,1,2,1,1,1,3,1,1,1109.4886064
113807,5,,1,1,1,1,2,1,1,1,3,1,1,1691.4976651
113808,5,,1,1,1,1,2,1,1,1,3,1,1,1064.8785818
113809,5,,2,1,1,1,1,2,1,1,2,2,1,92.291245809
113810,5,,2,1,1,1,2,1,1,1,3,1,1,248.71293452
113811,5,,2,1,1,1,2,1,1,1,3,1,1,207.37254911
113812,5,,2,1,1,1,1,2,1,1,3,1,1,97.044640936
113813,5,,2,1,1,1,1,1,2,1,3,1,1,104.0654534
113814,5,,2,1,1,1,1,2,1,1,2,1,1,143.08924512
113815,5,,2,1,1,1,1,2,1,1,2,1,1,113.52594916
113816,5,,2,1,1,1,0,2,1,1,2,1,1,143.08924512
113817,5,,1,1,2,1,2,1,1,1,3,1,1,337.06521034
113818,5,,1,1,1,1,3,2,1,1,3,1,1,369.68462322
113819,5,,1,1,1,1,3,2,1,1,3,1,1,138.39035353
113820,5,,1,1,2,1,2,2,1,1,3,1,1,547.83877791
113821,5,,1,1,2,1,3,2,1,1,3,1,1,185.93316099
113822,5,,1,1,2,1,3,2,1,1,3,1,1,193.15137631
113823,5,,1,1,1,1,3,2,1,1,2,1,1,185.47726425
113824,5,,1,1,2,1,3,2,1,1,3,1,1,138.32183787
113825,5,,1,1,2,1,4,2,1,1,2,1,1,275.71382198
113826,5,,1,1,2,1,3,1,1,1,3,1,1,199.85778771
113827,5,,1,1,1,1,3,1,1,1,3,1,1,138.39035353
113828,5,,1,1,2,1,3,2,1,1,3,1,1,137.93445679
113829,5,,1,1,3,1,2,2,1,1,3,1,1,206.08584916
113830,5,,1,1,3,1,2,2,1,1,3,1,1,206.08584916
113831,5,,1,1,2,1,2,2,1,1,3,1,1,553.97841954
113832,5,,1,1,2,1,2,2,1,1,3,1,1,386.65406232
113833,5,,1,1,3,1,2,2,1,1,3,1,1,546.49551073
113834,5,,1,1,2,1,2,2,1,1,3,1,1,547.83877791
113835,5,,1,1,2,1,2,2,1,1,3,1,1,407.75729166
113836,5,,1,1,1,1,3,2,1,1,3,1,1,222.45753576
113837,5,,1,1,1,1,3,1,1,1,3,1,1,305.33828678
113838,5,,1,1,2,1,3,2,1,1,3,1,1,414.97366004
113839,5,,2,1,1,1,2,2,2,2,,1,1,976.78457952
113840,5,,1,1,2,1,2,1,1,1,2,1,1,1487.6167543
113841,5,,1,1,2,1,2,1,1,1,2,1,1,1428.1899181
113842,5,,1,1,2,1,2,1,1,1,2,1,1,1487.6167543
113843,5,,1,1,1,1,3,2,1,1,2,1,1,1851.9665206
113844,5,,1,1,1,1,3,2,1,1,2,1,1,1689.8309653
113845,5,,1,1,2,1,3,2,1,1,2,1,1,1517.5663352
113846,5,,1,1,2,1,3,2,1,1,2,1,1,1429.5950037
113847,5,,1,1,2,1,3,2,1,1,2,1,1,1851.9665206
113849,5,,1,1,1,1,3,2,1,1,2,1,1,2088.2449694
113850,5,,1,1,2,1,2,1,1,1,2,1,1,1368.7630819
113851,5,,1,1,2,1,2,2,1,1,2,1,1,1254.6667055
113852,5,,2,1,3,1,1,2,2,2,,1,1,840.53385499
113853,5,,2,1,1,1,1,2,2,1,1,2,1,542.44447782
113854,5,,2,1,1,1,1,2,2,1,1,1,1,891.76909298
113855,5,,2,1,1,1,1,2,2,1,1,1,1,1020.7706298
113856,5,,2,1,1,1,1,2,2,1,1,2,1,840.53385499
113857,5,,2,1,1,1,1,2,2,1,1,1,1,564.69379291
113858,5,,2,1,1,1,1,2,2,1,1,1,1,660.1983418
113859,5,,2,1,1,1,1,2,2,1,1,1,1,791.49662057
113860,5,,2,1,1,1,1,2,2,1,1,2,1,700.94451744
113861,5,,2,1,1,1,1,2,2,1,1,2,1,575.18285525
113862,5,,1,1,2,1,3,2,1,1,2,1,1,1517.5663352
113863,5,,1,1,2,1,2,2,1,1,2,1,1,1003.2081408
113864,5,,1,1,2,1,2,1,1,1,2,1,1,1098.5451168
113865,5,,1,1,2,1,2,1,1,1,2,1,1,912.5457769
113866,5,,1,1,2,1,2,2,1,1,2,1,1,983.8025554
113867,5,,1,1,2,1,2,2,1,1,2,1,1,1218.6738819
113868,5,1,1,1,2,1,2,1,1,1,3,1,1,228.1895248
113869,5,1,1,1,1,1,3,1,1,1,3,1,1,194.57788001
113870,5,1,1,1,1,1,3,1,1,1,3,1,1,215.54342067
113871,5,1,1,1,1,1,3,1,1,1,3,1,1,212.31218303
113872,5,1,1,1,3,1,2,2,1,1,3,1,1,250.65538287
113873,5,1,1,1,1,1,2,2,1,1,3,1,1,276.57975706
113874,5,1,1,1,1,1,1,1,1,1,3,1,1,132.76481443
113875,5,1,1,1,1,1,1,1,1,1,3,1,1,135.21398396
113876,5,1,1,1,1,1,1,1,1,1,3,1,1,114.33471065
113877,5,1,1,1,1,1,1,1,1,1,3,1,1,110.22338671
113878,5,1,1,1,1,1,1,1,1,1,3,1,1,141.88478937
113879,5,1,1,1,1,1,1,1,1,1,3,1,1,116.89419212
113880,5,1,1,1,1,1,1,1,1,1,3,1,1,121.80546625
113881,5,1,1,1,3,1,2,2,1,1,3,1,1,239.59900104
113882,5,1,1,1,3,1,2,2,1,1,3,1,1,219.62970504
113883,5,1,1,1,1,1,1,1,1,1,3,1,1,142.17948781
113884,5,1,1,1,3,1,2,2,1,1,3,1,1,250.65538287
113885,5,1,1,1,1,1,1,1,1,1,2,1,1,200.3134378
113886,5,1,1,1,1,1,1,1,1,1,3,1,1,212.19503312
113887,5,1,1,1,2,1,1,1,1,1,3,1,1,200.33114501
113888,5,1,2,1,1,1,1,1,1,1,3,1,1,133.36254869
113889,5,1,2,1,1,1,2,1,1,1,3,1,1,115.29350259
113890,5,1,2,1,1,1,1,1,1,1,3,1,1,119.23018986
113891,5,1,2,1,1,1,1,1,1,1,3,1,1,115.29350259
113892,5,1,2,1,1,1,1,1,1,1,3,1,1,100.89447655
113894,5,1,2,1,1,1,1,1,1,1,2,1,1,118.58571033
113896,5,1,2,1,1,1,2,1,1,1,2,1,1,118.10075497
113897,5,1,2,1,1,1,1,1,1,1,3,1,1,89.889494277
113898,5,1,2,1,1,1,1,1,1,1,3,1,1,119.23018986
113899,5,1,1,1,1,1,1,1,1,1,1,1,1,47.51494489
113900,5,1,1,1,2,1,1,2,1,1,1,1,1,52.577369604
113901,5,1,1,1,1,1,1,1,1,1,1,1,1,48.029158479
113902,4,,1,1,2,1,6,1,1,1,3,1,1,761.33688154
113903,4,,1,1,2,1,6,1,1,1,3,1,1,761.33688154
113904,4,,1,1,2,1,3,1,1,1,2,1,1,966.72299666
113905,4,,1,1,2,1,3,1,1,1,2,1,1,619.37874667
113906,4,,1,1,2,1,3,1,1,1,2,1,1,915.20798331
113907,4,,1,1,2,1,3,1,1,1,2,1,1,626.45815191
113908,4,,1,1,2,1,4,1,1,1,2,1,1,1005.6741227
113909,4,,2,1,1,1,1,2,2,2,,1,1,143.42604791
113910,4,,2,1,1,1,1,2,2,1,2,2,1,118.3028436
113911,4,,2,1,1,1,1,2,1,2,,1,1,179.25375993
113912,4,,2,1,1,1,1,2,1,2,,2,1,179.25375993
113913,4,,2,1,1,1,1,2,2,1,1,2,1,179.25375993
113914,4,,2,1,1,1,1,2,2,1,1,2,1,119.65671343
113915,4,,2,1,1,1,1,2,2,2,,2,1,179.25375993
113916,4,,2,1,1,1,1,2,2,1,1,1,1,181.59609954
113917,4,,2,1,1,1,1,2,2,1,1,2,1,143.42604791
113918,4,,2,1,1,1,1,2,2,2,,2,1,142.07217808
113919,4,,1,1,1,1,2,1,1,1,3,1,1,947.80233688
113921,4,,1,1,1,1,1,2,1,1,2,1,1,955.8772379
113922,4,,1,1,1,1,1,1,2,1,2,1,1,1429.6769317
113924,4,,1,1,1,1,2,1,1,1,3,1,1,746.83929769
113925,4,,1,1,1,1,4,1,1,1,3,1,1,788.99591484
113926,4,,1,1,1,1,2,1,1,1,3,1,1,539.75806677
113927,4,,1,1,1,1,1,1,1,1,2,1,1,507.21165954
113929,4,,1,1,2,1,1,1,1,1,3,1,1,474.20811907
113930,4,,1,1,2,1,2,1,1,1,3,1,1,322.68538971
113931,4,,1,1,2,1,2,1,1,1,3,1,1,511.4413696
113932,4,,1,1,2,1,2,1,1,1,3,1,1,463.46435028
113933,4,,1,1,2,1,1,1,1,1,3,1,1,365.97556573
113934,4,,2,1,1,1,1,1,2,1,2,1,1,169.79217708
113935,4,,2,1,1,1,2,1,2,1,2,1,1,169.32171879
113936,4,,2,1,1,1,2,1,2,1,2,1,1,144.69111209
113937,4,,2,1,1,1,1,1,2,1,2,1,1,182.49403691
113938,4,,2,1,1,1,2,1,2,1,2,1,1,167.63900803
113940,4,,2,1,1,1,2,1,2,1,2,1,1,167.73712542
113941,4,,2,1,1,1,1,1,2,1,2,1,1,219.53901069
113942,4,,2,1,1,1,2,1,2,1,2,1,1,175.42625247
113943,4,,2,1,1,1,2,1,2,1,2,1,1,95.342510683
113944,4,,2,1,1,1,2,1,2,1,2,1,1,174.23633418
113945,4,,2,1,1,1,1,2,2,2,,2,1,150.92637963
113946,4,,2,1,2,1,2,2,2,2,,2,1,195.40939411
113947,4,,2,1,1,1,2,2,2,2,,2,1,175.01126439
113948,4,,2,1,1,1,2,2,2,2,,1,1,110.39372701
113949,4,,2,1,1,1,2,2,2,2,,2,1,110.39372701
113950,4,,2,1,1,1,2,2,2,2,,2,1,150.92637963
113951,4,,2,1,1,1,2,2,2,2,,2,1,154.87674149
113952,4,,2,1,1,1,1,2,2,2,,2,1,176.83797697
113953,4,,2,1,1,1,2,2,2,2,,2,1,89.90838182
113954,4,,2,1,1,1,1,2,2,1,1,1,1,235.6784399
113955,4,,2,1,1,1,1,1,2,1,1,2,1,102.90967999
113956,4,,2,1,1,1,2,1,1,1,2,1,1,178.16655794
113957,4,,2,1,1,1,1,1,2,1,1,1,1,162.70950495
113958,4,,2,1,1,1,1,1,2,1,1,2,1,117.396931
113959,4,,2,1,1,1,1,2,2,1,1,2,1,176.89888325
113960,4,,2,1,1,1,0,1,2,1,1,2,1,120.95225667
113961,4,,2,1,1,1,1,1,2,1,1,1,1,117.396931
113962,4,,2,1,1,1,1,2,2,1,1,1,1,121.41756948
113963,4,,2,1,1,1,1,1,2,1,1,2,1,117.396931
113964,4,,2,1,1,1,1,1,2,1,1,1,1,175.63120855
113965,4,,2,1,1,1,1,2,2,1,2,1,1,175.01126439
113966,4,,2,1,1,1,1,2,2,1,2,2,1,218.09736505
113967,4,,2,1,1,1,2,2,2,1,2,1,1,200.92286173
113968,4,,2,1,1,1,1,2,2,1,2,2,1,154.87674149
113969,4,,2,1,1,1,1,2,2,1,2,2,1,130.44103444
113970,4,,2,1,1,1,1,2,2,1,2,1,1,149.01245158
113971,4,,2,1,1,1,2,2,2,1,2,1,1,195.40939411
113972,4,,2,1,1,1,1,2,2,1,2,1,1,130.44103444
113973,4,,2,1,1,1,2,1,2,1,2,1,1,150.92637963
113974,4,,2,1,1,1,1,2,2,1,2,2,1,174.92404892
113975,4,,1,1,2,1,5,1,1,1,3,1,1,699.21877888
113976,4,,1,1,2,1,1,1,1,1,3,1,1,578.54981704
113977,4,,1,1,1,1,1,1,1,1,3,1,1,686.7158696
113978,4,,1,1,1,1,1,1,1,1,3,1,1,708.29286758
113979,4,,1,1,2,1,1,1,1,1,3,1,1,577.40389381
113980,4,,1,1,1,1,1,1,1,1,3,1,1,748.51330778
113981,4,,1,1,2,1,1,1,1,1,3,1,1,669.20285889
113983,4,,1,1,2,1,4,1,1,1,3,1,1,702.90770685
113984,4,,1,1,2,1,4,1,1,1,3,1,1,715.87714749
113985,4,,1,1,2,1,4,1,1,1,3,1,1,865.26199569
113986,4,,1,1,2,1,1,1,1,1,2,1,1,1149.6919384
113987,4,,1,1,2,1,1,1,1,1,3,1,1,1184.9573235
113988,4,,1,1,2,1,1,1,1,1,2,1,1,1075.9815161
113989,4,,1,1,1,1,6,1,1,1,3,1,1,1336.557558
113990,4,,1,1,1,1,1,2,2,1,3,1,1,795.41905276
113991,4,,2,1,1,1,1,2,2,1,2,1,1,97.881715473
113992,4,,2,1,1,1,4,2,2,1,2,1,1,84.831209775
113993,4,,2,1,1,1,3,2,2,1,2,1,1,127.08282616
113994,4,,2,1,1,1,2,2,1,1,2,1,1,101.73931505
113995,4,,2,1,1,1,3,2,1,1,2,1,1,126.91139172
113996,4,,2,1,1,1,2,2,2,1,2,1,1,98.153678601
113997,4,,2,1,1,1,3,2,1,1,2,1,1,84.831209775
113998,4,,2,1,1,1,3,2,2,2,,2,1,84.831209775
113999,4,,2,1,1,1,3,2,2,1,2,1,1,89.332869987
114000,4,,2,1,1,1,1,2,2,1,2,2,1,141.08897768
114001,4,,2,1,1,1,2,2,2,2,,1,1,122.01911427
114002,4,,2,1,1,1,1,2,2,2,,1,1,101.79745173
114003,4,,2,1,1,1,2,2,2,2,,1,1,137.67972111
114004,4,,2,1,1,1,2,1,2,1,2,1,1,167.62953057
114005,4,,2,1,1,1,1,2,1,1,2,1,1,120.86731514
114006,4,,2,1,1,1,2,2,2,2,,1,1,117.78441432
114007,4,,2,1,1,1,2,2,2,2,,1,1,136.5124288
114008,4,,2,1,1,1,1,2,2,1,2,1,1,117.78441432
114009,4,,2,1,1,1,1,2,1,1,2,1,1,153.39289857
114010,4,,2,1,1,1,2,2,2,2,,1,1,135.49032747
114011,4,,2,1,1,1,1,2,2,2,,2,1,101.79745173
114012,4,,2,1,1,1,1,2,2,2,,2,1,101.86551553
114013,4,,2,1,1,1,1,2,2,2,,2,1,104.94841634
114014,4,,2,1,1,1,1,2,2,2,,2,1,69.013576338
114015,4,,2,1,1,1,2,2,2,2,,1,1,66.138864427
114016,4,,2,1,1,1,1,2,2,2,,2,1,136.5804926
114017,4,,2,1,1,1,2,2,2,2,,1,1,156.73409134
114018,4,,2,1,1,1,2,2,2,2,,1,1,136.5124288
114019,4,,2,1,1,1,2,2,2,2,,1,1,154.49212708
114020,4,,2,1,1,1,2,2,2,2,,1,1,203.83011649
114021,4,,2,1,1,1,2,1,2,1,2,1,1,123.9627888
114022,4,,2,1,1,1,1,1,1,1,2,1,1,123.55193511
114023,4,,2,1,1,1,1,1,1,1,2,1,1,121.13621486
114024,4,,2,1,1,1,2,1,1,1,2,1,1,143.41637615
114025,4,,2,1,1,1,1,1,1,1,2,1,1,126.83418991
114026,4,,2,1,1,1,1,1,1,1,2,1,1,127.10324403
114027,4,,2,1,1,1,1,1,1,1,2,1,1,125.90345327
114028,4,,2,1,2,1,2,1,1,1,2,1,1,125.90345327
114029,4,,2,1,1,1,1,1,1,1,2,1,1,121.13621486
114030,4,,1,1,2,1,3,2,1,1,7,1,1,897.06479475
114032,4,,1,1,1,1,3,2,1,1,99,1,1,1100.0846648
114033,4,,1,1,1,1,3,1,1,1,3,1,1,728.422862
114034,4,,1,1,1,1,2,1,1,1,3,1,1,491.32537138
114035,4,,1,1,1,1,1,1,1,1,3,1,1,683.10037907
114036,4,,1,1,1,1,3,1,1,1,3,1,1,494.25074088
114037,4,,1,1,1,1,1,1,1,1,3,1,1,304.53743561
114038,4,,1,1,1,1,3,1,1,1,3,1,1,475.19521666
114039,4,,1,1,2,1,3,1,1,1,3,1,2,760.38450333
114040,4,,1,1,2,1,3,1,1,1,3,1,1,557.40331688
114041,4,,1,1,2,1,3,1,1,1,3,1,1,782.52433956
114042,4,,1,1,2,1,3,1,1,1,2,1,1,658.8939101
114043,4,,1,1,2,1,3,1,1,1,2,1,1,658.8939101
114044,4,,1,1,1,1,1,1,1,1,3,1,1,962.99586215
114045,4,,1,1,2,1,3,1,1,1,3,1,1,846.82855409
114046,4,,1,1,2,1,3,1,1,1,3,1,1,976.39705551
114047,4,,1,1,2,1,3,1,1,1,3,1,1,1100.0846648
114048,4,,1,1,1,1,1,1,1,1,3,1,1,810.06234405
114049,4,,1,1,2,1,3,1,1,1,3,1,1,857.99136342
114050,4,,1,1,2,1,3,1,1,1,3,1,1,1100.0846648
114051,4,,1,1,1,1,2,1,1,1,3,1,1,1096.2083025
114052,4,,1,1,1,1,2,1,1,1,3,1,1,732.29779163
114053,4,,1,1,1,1,2,1,1,1,3,1,1,635.12141557
114054,4,,1,1,1,1,2,1,1,1,3,1,1,494.17043258
114055,4,,1,1,2,1,3,1,1,1,3,1,1,1648.7506719
114056,4,,1,1,2,1,3,1,1,1,4,1,1,2860.523509
114057,4,,1,1,2,1,3,2,1,1,4,1,1,3640.2712622
114058,4,,1,1,2,1,3,1,1,1,4,1,1,4780.4289393
114059,4,,1,1,2,1,3,1,1,1,4,1,1,2310.3973168
114060,4,,1,1,1,1,3,1,1,1,4,1,1,3990.3145684
114061,4,,1,1,2,1,3,1,1,1,4,1,1,4700.7174835
114062,4,,1,1,2,1,3,1,1,1,4,1,1,4182.8753219
114063,4,,1,1,2,1,3,2,1,1,4,1,1,3313.800089
114064,4,,1,1,2,1,3,1,1,1,4,1,1,3990.3145684
114065,4,,1,1,2,1,3,1,1,1,4,1,1,4115.612295
114066,2,,1,1,1,1,3,1,1,1,3,1,1,441.96018177
114067,2,,1,1,1,1,3,1,1,1,3,1,1,522.04948704
114068,2,,1,1,1,1,4,1,1,1,3,1,1,584.20759589
114069,2,,1,1,1,1,4,1,1,1,3,1,1,548.52302683
114070,2,,1,1,1,1,3,1,1,1,3,1,1,503.42377714
114071,2,,1,1,1,1,3,1,1,1,3,1,1,504.11829061
114072,2,,1,1,1,1,4,1,1,1,3,1,1,522.04948704
114073,2,,1,1,1,1,4,1,1,1,3,1,1,557.03954263
114074,2,,1,1,1,1,1,2,2,1,3,1,1,454.52334134
114075,2,,1,1,1,1,1,2,2,2,,1,1,464.04398848
114076,2,,1,1,1,1,1,2,2,1,3,1,1,550.39791242
114077,2,,1,1,2,1,1,1,1,1,3,1,1,711.30503852
114078,2,,1,1,2,1,1,1,1,1,3,1,1,691.21982983
114079,2,,1,1,1,1,1,2,2,1,3,1,1,463.77256164
114080,2,,1,1,1,1,1,2,2,1,3,1,1,488.19336915
114081,2,,1,1,2,1,1,1,1,1,3,1,1,773.99706435
114082,2,,1,1,1,1,1,2,2,1,3,1,1,362.90326541
114083,2,,1,1,1,1,1,2,1,1,3,1,1,627.77874565
114084,2,,1,1,2,1,1,1,1,1,3,1,1,691.21982983
114085,2,,1,1,1,1,1,1,1,1,3,1,1,569.41097661
114086,2,,1,1,2,1,2,1,1,1,3,1,1,694.83878328
114087,2,,1,1,1,1,1,2,2,1,3,1,1,536.91918792
114088,2,,1,1,1,1,1,2,2,1,3,1,1,477.52271299
114089,2,,1,1,1,1,1,2,2,1,3,1,1,475.86668679
114090,2,,1,1,2,1,1,1,1,1,3,1,1,650.23307196
114091,2,,1,1,1,1,1,1,1,1,3,1,1,759.8647832
114092,2,,1,1,2,1,1,1,1,1,3,1,1,582.46430674
114093,2,,1,1,1,1,1,1,1,1,3,1,1,685.65378354
114094,2,,1,1,1,1,1,1,1,1,3,1,1,691.21982983
114095,2,,1,1,2,1,2,1,1,1,3,1,1,551.8264498
114096,2,,1,1,2,1,2,1,1,1,3,1,1,587.30567292
114097,2,,1,1,1,1,2,1,1,1,3,1,1,604.36468362
114098,2,,1,1,2,1,2,1,1,1,3,1,1,673.51122842
114099,2,,1,1,2,1,2,1,1,1,3,1,1,622.09784685
114100,2,,1,1,2,1,2,1,1,1,3,1,1,602.26877546
114101,2,,1,1,2,1,2,1,1,1,3,1,1,461.43165113
114102,2,,1,1,2,1,2,1,1,1,3,1,1,617.86973284
114103,2,,1,1,1,1,2,1,1,1,3,1,1,1097.8738164
114104,2,,1,1,1,1,2,1,1,1,3,1,1,1494.4594855
114105,2,,1,1,1,1,2,1,1,1,3,1,1,1494.4594855
114106,2,,2,1,1,1,2,2,2,2,,2,1,908.62812458
114107,2,,2,1,1,1,1,2,2,2,,2,1,399.83008886
114108,2,,2,1,1,1,1,2,2,2,,2,1,653.48377463
114109,2,,2,1,1,1,1,2,2,2,,2,1,797.59618096
114110,2,,2,1,1,1,1,2,2,2,,2,1,655.54777139
114111,2,,2,1,1,1,2,2,2,2,,2,1,672.61851567
114112,2,,2,1,1,1,1,2,2,2,,2,1,709.09773729
114113,2,,2,1,1,1,1,2,2,2,,2,1,528.50610934
114114,2,,2,1,1,1,1,2,2,2,,2,1,528.50610934
114115,2,,2,1,1,1,1,2,2,2,,2,1,977.22242604
114116,2,,2,1,1,1,1,2,2,2,,2,1,655.54777139
114117,2,,2,1,1,1,1,1,2,2,,1,1,717.33772653
114118,2,,2,1,1,1,2,1,2,2,,1,1,756.60770152
114119,2,,2,1,1,1,1,2,2,2,,1,1,480.73503235
114120,2,,2,1,1,1,1,1,2,2,,1,1,584.90386603
114121,2,,2,1,1,1,2,1,2,2,,1,1,665.97331764
114122,2,,2,1,3,1,2,1,2,2,,1,1,654.23285746
114123,2,,2,1,1,1,1,2,2,2,,1,1,715.8241289
114124,2,,2,1,1,1,1,2,2,2,,1,1,625.33346494
114125,2,,2,1,1,1,1,1,2,2,,1,1,717.33772653
114126,2,,2,1,1,1,1,2,2,1,2,1,1,584.90386603
114127,2,,2,1,1,1,2,2,2,2,,1,1,400.08969266
114128,2,,2,1,1,1,1,1,2,2,,1,1,564.30642102
114129,2,,2,1,1,1,2,1,2,1,2,1,1,1233.1339454
114130,2,,2,1,1,1,1,1,2,1,2,1,1,1073.4265587
114131,2,,2,1,1,1,2,1,2,1,2,1,1,1792.459382
114132,2,,2,1,1,1,2,2,2,1,2,1,1,1201.8375809
114134,2,,1,1,3,1,2,1,1,1,3,1,1,1494.4594855
114135,2,,2,1,1,1,2,2,2,2,,1,1,448.74761557
114136,2,,2,1,1,1,1,2,2,2,,1,1,640.98004314
114152,5,,1,1,1,1,1,2,2,1,3,1,1,147.95981208
114153,5,,1,1,1,1,1,2,2,1,3,1,1,132.07177563
114154,5,,1,1,2,1,1,2,2,1,3,1,1,198.48170475
114155,5,,1,1,1,1,1,2,2,1,3,1,1,203.54080391
114156,5,,1,1,1,1,1,2,2,1,3,2,1,332.52169521
114158,5,,1,1,1,1,1,2,2,1,3,2,1,238.23660799
114159,5,,1,1,1,1,1,2,2,1,3,2,1,200.24184534
114160,5,,1,1,1,1,1,2,2,1,3,2,1,272.91553891
114161,5,,1,1,1,1,1,2,2,1,3,2,1,201.7582532
114162,5,,1,1,1,1,1,2,2,1,3,2,1,126.70660202
114163,5,,1,1,2,1,1,2,2,1,3,2,1,274.43194677
114164,5,,1,1,1,1,1,2,2,1,3,2,1,272.91553891
114165,2,,1,1,2,1,1,1,1,1,3,1,1,731.95568815
114166,2,,1,1,1,1,1,1,1,1,3,1,1,871.76610604
114168,2,,1,1,2,1,2,1,1,1,3,1,1,684.82603898
114169,2,,1,1,1,1,2,1,1,1,3,1,1,772.8793775
114170,2,,1,1,2,1,2,1,1,1,3,1,1,690.7255462
114171,2,,1,1,1,1,2,1,1,1,3,1,1,802.22102494
114172,2,,1,1,1,1,1,1,1,1,3,1,1,658.41579545
114173,2,,1,1,2,1,2,1,1,1,3,1,1,1017.2001387
114174,2,,1,1,2,1,1,1,1,1,3,1,1,826.23954652
114175,2,,1,1,3,1,1,1,1,1,3,1,1,804.05511682
114176,2,,1,1,1,1,1,1,1,1,3,1,1,503.98094369
114177,2,,1,1,1,1,1,1,1,1,3,1,1,749.83308772
114178,2,,1,1,1,1,3,1,1,1,3,1,1,477.17299828
114179,2,,1,1,1,1,1,1,1,1,3,1,1,628.88486471
114180,2,,1,1,1,1,1,1,1,1,3,1,1,731.90800641
114181,2,,1,1,1,1,2,1,1,1,3,1,1,1112.3293483
114182,2,,1,1,1,1,2,1,1,1,3,1,1,1190.0174814
114183,2,,1,1,1,1,2,1,1,1,3,1,1,1282.3170701
114184,2,,1,1,2,1,1,1,1,1,3,1,1,664.94471255
114185,2,,1,1,1,1,2,1,1,1,3,1,1,453.82437708
114186,2,,1,1,2,1,2,1,1,1,3,1,1,377.7371293
114187,2,,1,1,1,1,2,1,1,1,3,1,1,338.43126913
114188,2,,1,1,1,1,2,1,1,1,3,1,1,424.60323156
114190,2,,1,1,2,1,3,1,1,1,3,1,1,595.32338512
114191,2,,1,1,1,1,2,1,1,1,3,1,1,523.88794938
