DIRECTORIO,REGION,DPTO_CAUCA,P3,P4090,P4000,P4031S1,P4031S1A1,P4031S2,P4031S3,P4031S4,P4031S4A1,P4031S5,P70,FEX_P
112307,2,,1,1,1,1,3,1,1,1,3,1,1,667.89577009
112308,2,,1,1,2,1,3,1,1,1,3,1,1,643.59589703
112309,2,,1,1,1,1,2,1,1,1,3,1,1,690.7255462
112310,2,,1,1,2,1,2,1,1,1,3,1,1,782.36592753
112311,2,,1,1,2,1,1,1,1,1,3,1,1,1130.0554433
112312,2,,1,1,2,1,1,2,1,1,3,1,1,1245.9027243
112313,2,,1,1,2,1,1,1,1,1,3,1,1,1103.0996949
112314,2,,1,1,2,1,1,1,1,1,3,1,1,1295.5526364
112315,2,,1,1,2,1,1,1,1,1,3,1,1,1116.5713516
112316,2,,1,1,1,1,2,1,1,1,3,1,1,482.61618544
112317,2,,1,1,1,1,2,1,1,1,3,1,1,529.65630441
112318,2,,1,1,1,1,2,1,2,1,3,1,1,741.60372921
112319,2,,1,1,2,1,1,1,1,1,3,1,1,365.95809211
112320,2,,1,1,2,1,1,1,1,1,3,1,1,606.34593193
112321,2,,1,1,2,1,1,1,1,1,3,1,1,772.18417698
112322,2,,1,1,2,1,1,1,1,1,3,1,1,365.95809211
112323,2,,1,1,1,1,3,1,1,1,3,1,1,656.31059472
112324,2,,1,1,2,1,1,2,2,1,3,1,1,701.61340663
112325,2,,1,1,1,1,1,1,1,1,3,1,1,317.43901693
112326,2,,1,1,1,1,1,2,1,1,3,1,1,269.56148634
112327,2,,1,1,1,1,1,1,1,1,3,1,1,881.5820208
112328,2,,1,1,2,1,2,1,1,1,3,1,1,932.51868667
112329,2,,1,1,2,1,2,1,1,1,3,1,1,676.86779717
112330,2,,1,1,2,1,2,1,1,1,3,1,1,665.44779191
112331,2,,1,1,2,1,2,1,1,1,3,1,1,665.44779191
112332,2,,1,1,2,1,2,1,1,1,3,1,1,955.04739889
112333,2,,1,1,1,1,2,1,1,1,3,1,1,760.94885293
112334,2,,1,1,1,1,1,1,1,1,3,2,1,930.62446267
112335,2,,1,1,2,1,1,1,1,1,3,2,1,923.55981595
112337,2,,1,1,1,1,1,1,1,1,3,2,1,940.10724587
112338,2,,1,1,2,1,1,2,1,2,,2,1,617.37387966
