Fecha(dd/mm/aaaa),Piso (COP/USD),Punto medio (COP/USD),Techo (COP/USD)
1994-01-24,"759,2","816,34","873,49"
1994-01-25,"759,52","816,69","873,86"
1994-01-26,"759,84","817,03","874,22"
1994-01-27,"760,16","817,37","874,59"
1994-01-28,"760,48","817,72","874,96"
1994-01-31,"760,8","818,06","875,33"
1994-02-01,"761,12","818,41","875,7"
1994-02-02,"761,44","818,75","876,06"
1994-02-03,"761,76","819,1","876,43"
1994-02-04,"762,08","819,44","876,8"
1994-02-07,"762,4","819,79","877,17"
1994-02-08,"762,72","820,13","877,54"
1994-02-09,"763,04","820,48","877,91"
1994-02-10,"763,36","820,82","878,28"
1994-02-11,"763,69","821,17","878,65"
1994-02-14,"764,01","821,51","879,02"
1994-02-15,"764,33","821,86","879,39"
1994-02-16,"764,65","822,2","879,76"
1994-02-17,"764,97","822,55","880,13"
1994-02-18,"765,29","822,9","880,5"
1994-02-21,"765,62","823,24","880,87"
1994-02-22,"765,94","823,59","881,24"
1994-02-23,"766,26","823,94","881,61"
1994-02-24,"766,58","824,25","881,98"
1994-02-25,"766,91","824,63","882,35"
1994-02-28,"767,23","824,98","882,73"
1994-03-01,"767,55","825,32","883,1"
1994-03-02,"767,87","825,67","883,47"
1994-03-03,"768,2","826,02","883,84"
1994-03-04,"768,52","826,37","884,21"
1994-03-07,"768,84","826,71","884,58"
1994-03-08,"769,17","827,06","884,96"
1994-03-09,"769,49","827,41","885,33"
1994-03-10,"769,82","827,76","885,7"
1994-03-11,"770,14","828,11","886,07"
1994-03-14,"770,46","828,46","886,45"
1994-03-15,"770,79","828,8","886,82"
1994-03-16,"771,11","829,15","887,57"
1994-03-17,"771,44","829,5","887,57"
1994-03-18,"771,76","829,85","887,94"
1994-03-22,"772,09","830,2","888,31"
1994-03-23,"772,41","830,55","888,69"
1994-03-24,"772,74","830,9","889,06"
1994-03-25,"773,06","831,25","889,44"
1994-03-28,"773,06","831,6","889,91"
1994-03-29,"773,71","831,95","890,19"
1994-03-30,"774,04","832,3","890,56"
1994-04-04,"774,36","832,65","890,94"
1994-04-05,"774,69",833,"891,31"
1994-04-06,"775,02","833,35","891,69"
1994-04-07,"775,34","833,7","892,06"
1994-04-08,"775,67","834,05","892,44"
1994-04-11,776,"834,4","892,81"
1994-04-12,"776,32","834,75","893,19"
1994-04-13,"776,65","835,11","893,56"
1994-04-14,"776,98","835,46","893,94"
1994-04-15,"777,3","835,81","894,32"
1994-04-18,"777,63","836,16","894,69"
1994-04-19,"777,96","836,51","895,07"
1994-04-20,"778,28","836,86","895,45"
1994-04-21,"778,61","837,22","895,82"
1994-04-22,"778,94","837,57","896,2"
1994-04-25,"779,27","837,92","896,58"
1994-04-26,"779,6","838,27","896,95"
1994-04-27,"779,92","838,63","897,33"
1994-04-28,"780,25","838,98","897,71"
1994-04-29,"780,58","839,33","898,09"
1994-05-02,"780,91","839,69","898,47"
1994-05-03,"781,24","840,04","898,84"
1994-05-04,"781,57","840,39","899,22"
1994-05-05,"781,9","840,75","899,6"
1994-05-06,"782,22","841,1","899,98"
1994-05-09,"782,55","841,46","900,36"
1994-05-10,"782,88","841,81","900,74"
1994-05-11,"783,21","842,16","901,12"
1994-05-12,"783,54","842,52","901,49"
1994-05-13,"783,87","842,87","901,87"
1994-05-17,"784,2","843,23","902,25"
1994-05-18,"784,53","843,58","902,63"
1994-05-19,"784,86","843,94","903,01"
1994-05-20,"785,19","844,29","903,39"
1994-05-23,"785,52","844,65","903,77"
1994-05-24,"785,85",845,"904,15"
1994-05-25,"786,18","845,36","904,53"
1994-05-26,"786,52","845,72","904,92"
1994-05-27,"786,85","846,07","905,3"
1994-05-30,"787,18","846,43","905,68"
1994-05-31,"787,51","846,78","906,06"
1994-06-01,"787,54","847,14","906,44"
1994-06-02,"788,17","847,5","906,82"
1994-06-03,"788,5","847,85","907,2"
1994-06-07,"788,84","848,21","907,58"
1994-06-08,"789,17","848,57","907,97"
1994-06-09,"789,5","848,92","908,35"
1994-06-10,"789,83","849,28","908,73"
1994-06-14,"790,16","849,64","909,11"
1994-06-15,"790,5",850,"909,5"
1994-06-16,"790,83","850,35","909,88"
1994-06-17,"791,16","850,71","910,26"
1994-06-20,"791,5","851,07","910,65"
1994-06-21,"791,83","851,43","911,03"
1994-06-22,"792,16","851,79","911,41"
1994-06-23,"792,5","852,15","911,8"
1994-06-24,"792,83","852,5","912,18"
1994-06-27,"793,16","852,86","912,56"
1994-06-28,"793,5","853,22","912,95"
1994-06-29,"793,83","853,58","913,33"
1994-06-30,"794,16","853,94","913,72"
1994-07-01,"794,5","854,3","914,1"
1994-07-05,"794,83","854,66","914,49"
1994-07-06,"795,16","855,02","914,87"
1994-07-07,"795,5","855,38","915,26"
1994-07-08,"795,84","855,74","915,64"
1994-07-11,"796,17","856,1","916,03"
1994-07-12,"796,51","856,46","916,41"
1994-07-13,"796,84","856,82","916,8"
1994-07-14,"797,18","857,18","917,18"
1994-07-15,"797,51","857,54","917,57"
1994-07-18,"797,85","857,9","917,96"
1994-07-19,"798,19","858,26","918,34"
1994-07-21,"798,52","858,62","918,73"
1994-07-22,"798,86","858,99","919,12"
1994-07-25,"799,19","859,35","919,5"
1994-07-26,"799,53","859,71","919,89"
1994-07-27,"799,87","860,07","920,28"
1994-07-28,"800,2","860,43","920,66"
1994-07-29,"800,54","860,8","921,05"
1994-08-01,"800,88","861,16","921,44"
1994-08-02,"801,21","861,52","921,83"
1994-08-03,"801,55","861,88","922,21"
1994-08-04,"801,89","862,25","922,6"
1994-08-05,"802,23","862,61","922,99"
1994-08-08,"802,56","862,97","923,38"
1994-08-09,"802,9","863,33","923,77"
1994-08-10,"803,24","863,7","924,16"
1994-08-11,"803,58","864,06","924,55"
1994-08-12,"803,92","864,43","924,94"
1994-08-16,"804,25","864,79","925,32"
1994-08-17,"804,59","865,15","925,71"
1994-08-18,"804,93","865,52","926,1"
1994-08-19,"805,27","865,88","926,49"
1994-08-22,"805,61","866,25","926,88"
1994-08-23,"805,95","866,61","927,27"
1994-08-24,"806,29","866,98","927,66"
1994-08-25,"806,63","867,34","928,05"
1994-08-26,"806,97","867,71","928,44"
1994-08-29,"807,31","868,07","928,84"
1994-08-30,"807,65","868,44","929,23"
1994-08-31,"807,99","868,8","929,62"
1994-09-01,"808,33","869,17","930,01"
1994-09-02,"808,67","869,53","930,4"
1994-09-05,"809,01","869,9","930,79"
1994-09-06,"809,35","870,26","931,18"
1994-09-07,"809,69","870,63","931,58"
1994-09-08,"810,03",871,"931,97"
1994-09-09,"810,37","871,36","932,36"
1994-09-12,"810,71","871,73","932,75"
1994-09-13,"811,05","872,1","933,14"
1994-09-14,"811,39","872,47","933,54"
1994-09-15,"811,73","872,83","933,93"
1994-09-16,"812,08","873,2","934,32"
1994-09-19,"812,42","873,57","934,72"
1994-09-20,"812,76","873,93","935,11"
1994-09-21,"813,1","874,3","935,5"
1994-09-22,"813,44","874,67","935,9"
1994-09-23,"813,79","875,04","936,29"
1994-09-26,"814,13","875,41","936,69"
1994-09-27,"814,47","875,78","937,08"
1994-09-28,"814,81","876,14","937,47"
1994-09-29,"815,16","876,51","937,87"
1994-09-30,"815,5","876,88","938,26"
1994-10-03,"815,84","877,25","938,66"
1994-10-04,"816,19","877,62","939,05"
1994-10-05,"816,53","877,99","939,45"
1994-10-06,"816,87","878,36","939,84"
1994-10-07,"817,22","878,73","940,24"
1994-10-10,"817,56","879,1","940,64"
1994-10-11,"817,91","879,47","941,03"
1994-10-12,"818,25","879,84","941,43"
1994-10-13,"818,59","880,21","941,82"
1994-10-14,"818,94","880,58","942,22"
1994-10-18,"819,28","880,95","942,62"
1994-10-19,"819,63","881,32","943,01"
1994-10-20,"819,97","881,69","943,41"
1994-10-21,"820,32","882,06","943,81"
1994-10-24,"820,66","882,43","944,2"
1994-10-25,"821,01","882,81","944,6"
1994-10-26,"821,35","883,18",945
1994-10-27,"821,7","883,55","945,4"
1994-10-28,"822,05","883,92","945,8"
1994-10-31,"822,39","884,29","946,19"
1994-11-01,"822,74","884,67","946,59"
1994-11-02,"823,08","885,04","946,99"
1994-11-03,"823,43","885,41","947,39"
1994-11-04,"823,78","885,78","947,79"
1994-11-08,"824,12","886,16","948,19"
1994-11-09,"824,47","886,53","948,59"
1994-11-10,"824,82","886,9","948,98"
1994-11-11,"825,17","887,27","949,38"
1994-11-15,"825,51","887,65","949,78"
1994-11-16,"825,86","888,02","950,18"
1994-11-17,"826,21","888,4","950,58"
1994-11-18,"826,56","888,77","950,98"
1994-11-21,"826,9","889,14","951,38"
1994-11-22,"827,25","889,52","951,78"
1994-11-23,"827,6","889,89","952,18"
1994-11-24,"827,95","890,27","952,59"
1994-11-25,"828,3","890,64","952,99"
1994-11-28,"828,65","891,02","953,39"
1994-11-29,"828,99","891,39","953,79"
1994-11-30,"829,34","891,77","954,19"
1994-12-01,"829,69","892,14","954,59"
1994-12-02,"830,04","892,52","954,99"
1994-12-05,"830,39","892,89","955,4"
1994-12-06,"830,74","893,27","955,8"
1994-12-07,"831,09","893,64","956,2"
1994-12-09,"831,44","894,02","956,6"
1994-12-12,"773,5647","831,79","890,0153"
1994-12-13,"773,98","832,23","890,49"
1994-12-14,"774,386567157867","832,67","890,960889095611"
1994-12-15,"774,797828123476","833,12","891,434060314106"
1994-12-16,"775,209307501423","833,56","891,907482824218"
1994-12-19,"775,621005407705",834,"892,381156759402"
1994-12-20,"776,032921958376","834,44","892,855082253186"
1994-12-21,"776,445057269555","834,89","893,329259439166"
1994-12-22,"776,857411457421","835,33","893,803688451011"
1994-12-23,"777,269984638214","835,77","894,278369422461"
1994-12-26,"777,682776928238","836,22","894,753302487327"
1994-12-27,"778,095788443856","836,66","895,22848777949"
1994-12-28,"778,509019301495","837,11","895,703925432903"
1994-12-29,"778,922469617644","837,55","896,17961558159"
1995-01-02,"779,264625308175","837,92","896,573278580374"
1995-01-03,"779,673366292537","838,36","897,043550465607"
1995-01-04,"780,082321670298","838,8","897,514069018515"
1995-01-05,"780,491491553913","839,24","897,984834368481"
1995-01-06,"780,900876055895","839,68","898,455846644954"
1995-01-10,"781,310475288815","840,12","898,927105977454"
1995-01-11,"781,720289365305","840,56","899,398612495565"
1995-01-12,"782,130318398054",841,"899,870366328943"
1995-01-13,"782,540562499811","841,44","900,34236760731"
1995-01-16,"782,951021783386","841,88","900,814616460455"
1995-01-17,"783,361696361645","842,32","901,287113018237"
1995-01-18,"783,772586347515","842,77","901,759857410582"
1995-01-19,"784,183691853983","843,21","902,232849767486"
1995-01-20,"784,595012994092","843,65","902,706090219009"
1995-01-23,"785,006549880948","844,09","903,179578895285"
1995-01-24,"785,418302627715","844,54","903,653315926511"
1995-01-25,"785,830271347615","844,98","904,127301442955"
1995-01-26,"786,242456153932","845,42","904,601535574953"
1995-01-27,"786,654857160006","845,87","905,07601845291"
1995-01-30,"787,06747447924","846,31","905,550750207297"
1995-01-31,"787,480308225094","846,75","906,025730968657"
1995-02-01,"787,893358511089","847,197159689343","906,500960867597"
1995-02-02,"788,306625450805","847,641532742801","906,976440034797"
1995-02-03,"788,720109157881","848,086138879442","907,452168601003"
1995-02-06,"789,133809746016","848,530978221523","907,928146697029"
1995-02-07,"789,547727328969","848,976050891365","908,404374453761"
1995-02-08,"789,961862020559","849,421357011354","908,880852002149"
1995-02-09,"790,376213934664","849,86689670394","909,357579473216"
1995-02-10,"790,790783185221","850,312670091636","909,83455699805"
1995-02-13,"791,205569886229","850,75867729702","910,311784707811"
1995-02-14,"791,620574151743","851,204918442735","910,789262733726"
1995-02-15,"792,035796095883","851,651393651487","911,266991207091"
1995-02-16,"792,451235832825","852,098103046048","911,744970259271"
1995-02-17,"792,866893476805","852,545046749253","912,2232000217"
1995-02-20,"793,282769142121","852,992224884001","912,701680625882"
1995-02-21,"793,69886294313","853,439637573258","913,180412203386"
1995-02-22,"794,115174994249","853,887284940052","913,659394885856"
1995-02-23,"794,531705409954","854,335167107477","914,138628805"
1995-02-24,"794,948454304782","854,78328419869","914,618114092598"
1995-02-27,"795,36542179333","855,231636336914","915,097850880498"
1995-02-28,"795,782607990256","855,680223645436","915,577839300617"
1995-03-01,"796,200013010276","856,129046247609","916,058079484941"
1995-03-02,"796,617636968168","856,578104266848","916,538571565527"
1995-03-03,"797,03547997877","857,027397826634","917,019315674499"
1995-03-06,"797,453542156979","857,476927050515","917,500311944051"
1995-03-07,"797,871823617754","857,926692062101","917,981560506448"
1995-03-08,"798,290324476112","858,376692985067","918,463061494022"
1995-03-09,"798,709044847134","858,826929943154","918,944815039175"
1995-03-10,"799,127984845957","859,277403060168","919,42682127438"
1995-03-13,"799,547144587781","859,728112459979","919,909080332178"
1995-03-14,"799,966524187866","860,179058266523","920,391592345179"
1995-03-15,"800,386123761533","860,630240603799","920,874357446065"
1995-03-16,"800,805943424162","861,081659595873","921,357375767584"
1995-03-17,"801,225983291195","861,533315366876","921,840647442557"
1995-03-21,"801,646243478133","861,985208041004","922,324172603874"
1995-03-22,"802,06672410054","862,437337742516","922,807951384492"
1995-03-23,"802,487425274038","862,88970459574","923,291983917442"
1995-03-24,"802,908347114311","863,342308725066","923,77627033582"
1995-03-27,"803,329489737103","863,79515025495","924,260810772797"
1995-03-28,"803,750853258221","864,248229309915","924,745605361609"
1995-03-29,"804,172437793528","864,701546014547","925,230654235565"
1995-03-30,"804,594243458953","865,155100493498","925,715957528043"
1995-03-31,"805,016270370483","865,608892871487","926,201515372491"
1995-04-03,"805,438518644166","866,062923273296","926,687327902427"
1995-04-04,"805,860988396111","866,517191823775","927,173395251439"
1995-04-05,"806,283679742488","866,971698647836","927,659717553185"
1995-04-06,"806,706592799528","867,426443870461","928,146294941393"
1995-04-07,"807,129727683524","867,881427616693","928,633127549861"
1995-04-10,"807,553084510829","868,336650011644","929,120215512459"
1995-04-11,"807,976663397855","868,79211118049","929,607558963124"
1995-04-12,"808,400464461079","869,247811248472","930,095158035866"
1995-04-17,"808,824487817037","869,7037503409","930,583012864763"
1995-04-18,"809,248733582326","870,159928583146","931,071123583966"
1995-04-19,"809,673201873603","870,616346100649","931,559490327694"
1995-04-20,"810,09789280759","871,073003018914","932,048113230238"
1995-04-21,"810,522806501067","871,529899463513","932,536992425959"
1995-04-24,"810,947943070876","871,987035560082","933,026128049287"
1995-04-25,"811,37330263392","872,444411434323","933,515520234725"
1995-04-26,"811,798885307164","872,902027212005","934,005169116845"
1995-04-27,"812,224691207635","873,359883018962","934,49507483029"
1995-04-28,"812,650720452419","873,817978981096","934,985237509772"
1995-05-02,"813,076973158666","874,276315224372","935,475657290078"
1995-05-03,"813,503449443585","874,734891874823","935,966334306061"
1995-05-04,"813,930149424449","875,193709058548","936,457268692646"
1995-05-05,"814,357073218592","875,652766901712","936,948460584831"
1995-05-08,"814,784220943407","876,112065530545","937,439910117683"
1995-05-09,"815,211592716351","876,571605071345","937,931617426339"
1995-05-10,"815,639188654943","877,031385650476","938,423582646009"
1995-05-11,"816,067008876761","877,491407394367","938,915805911973"
1995-05-12,"816,495053499448","877,951670429514","939,40828735958"
1995-05-15,"816,923322640707","878,41217488248","939,901027124254"
1995-05-16,"817,351816418301","878,872920879894","940,394025341487"
1995-05-17,"817,780534950059","879,33390854845","940,887282146842"
1995-05-18,"818,209478353867","879,795138014911","941,380797675955"
1995-05-19,"818,638646747677","880,256609406105","941,874572064532"
1995-05-22,"819,068040249501","880,718322848925","942,36860544835"
1995-05-23,"819,497658977411","881,180278470335","942,862897963258"
1995-05-24,"819,927503049546","881,642476397361","943,357449745176"
1995-05-25,"820,357572584101","882,104916757098","943,852260930095"
1995-05-26,"820,787867699337","882,567599676707","944,347331654076"
1995-05-30,"821,218388513576","883,030525283415","944,842662053255"
1995-05-31,"821,649135145203","883,493693704519","945,338252263835"
1995-06-01,"822,080107712662","883,957105067378","945,834102422095"
1995-06-02,"822,511306334462","884,420759499422","946,330212664381"
1995-06-05,"822,942731129174","884,884657128144","946,826583127114"
1995-06-06,"823,37438221543","885,348798081107","947,323213946785"
1995-06-07,"823,806259711924","885,81318248594","947,820105259956"
1995-06-08,"824,238363737415","886,277810470338","948,317257203262"
1995-06-09,"824,67069441072","886,742682162065","948,814669913409"
1995-06-12,"825,103251850723","887,207797688949","949,312343527175"
1995-06-13,"825,536036176366","887,673157178888","949,81027818141"
1995-06-14,"825,969047506656","888,138760759845","950,308474013034"
1995-06-15,"826,402285960662","888,604608559851","950,806931159041"
1995-06-16,"826,835751657515","889,070700707005","951,305649756496"
1995-06-20,"827,269444716409","889,537037329472","951,804629942535"
1995-06-21,"827,703365256601","890,003618555484","952,303871854368"
1995-06-22,"828,137513397408","890,470444513342","952,803375629276"
1995-06-23,"828,571889258213","890,937515331411","953,30314140461"
1995-06-27,"829,006492958459","891,404831138128","953,803169317796"
1995-06-28,"829,441324617653","891,872392061992","954,303459506332"
1995-06-29,"829,876384355364","892,340198231575","954,804012107785"
1995-06-30,"830,311672291225","892,808249775511","955,304827259797"
1995-07-04,"830,747188544931","893,276546822506","955,805905100081"
1995-07-05,"831,182933236238","893,745089501331","956,307245766424"
1995-07-06,"831,618906484967","894,213877940825","956,808849396683"
1995-07-07,"832,055108411002","894,682912269895","957,310716128788"
1995-07-10,"832,491539134289","895,152192617515","957,812846100741"
1995-07-11,"832,928198774837","895,621719112728","958,315239450619"
1995-07-12,"833,365087452717","896,091491884642","958,817896316567"
1995-07-13,"833,802205288065","896,561511062436","959,320816836806"
1995-07-14,"834,239552401079","897,031776775354","959,824001149629"
1995-07-17,"834,67712891202","897,502289152709","960,327449393399"
1995-07-18,"835,114934941211","897,973048323883","960,831161706555"
1995-07-19,"835,552970609041","898,444054418324","961,335138227607"
1995-07-21,"835,99123603596","898,915307565548","961,839379095136"
1995-07-24,"836,42973134248","899,38680789514","962,3438844478"
1995-07-25,"836,868456649179","899,858555536752","962,848654424325"
1995-07-26,"837,307412076698","900,330550620105","963,353689163512"
1995-07-27,"837,746597745738","900,802793274987","963,858988804236"
1995-07-28,"838,186013777067","901,275283631255","964,364553485443"
1995-07-31,"838,625660291515","901,748021818834","964,870383346152"
1995-08-01,"839,065537409976","902,221007967716","965,376478525456"
1995-08-02,"839,505645253405","902,694242207962","965,882839162519"
1995-08-03,"839,945983942823","903,167724669702","966,389465396581"
1995-08-04,"840,386553599313","903,641455483133","966,896357366952"
1995-08-08,"840,827354344024","904,11543477852","967,403515213017"
1995-08-09,"841,268386298165","904,589662686199","967,910939074233"
1995-08-10,"841,709649583011","905,064139336571","968,418629090131"
1995-08-11,"842,1511443199","905,538864860108","968,926585400315"
1995-08-14,"842,592870630234","906,013839387348","969,434808144462"
1995-08-15,"843,034828635476","906,489063048899","969,943297462322"
1995-08-16,"843,477018457158","906,964535975438","970,452053493719"
1995-08-17,"843,91944021687","907,44025829771","970,96107637855"
1995-08-18,"844,362094036271","907,916230146528","971,470366256784"
1995-08-22,"844,804980037079","908,392451652773","971,979923268467"
1995-08-23,"845,248098341079","908,868922947397","972,489747553715"
1995-08-24,"845,69144907012","909,345644161419","972,999839252718"
1995-08-25,"846,135032346112","909,822615425927","973,510198505742"
1995-08-28,"846,578848291032","910,299836872078","974,020825453123"
1995-08-29,"847,02289702692","910,777308631097","974,531720235273"
1995-08-30,"847,467178675879","911,255030834279","975,042882992678"
1995-08-31,"847,911693360078","911,733003612987","975,554313865896"
1995-09-01,"848,356441201748","912,211227098654","976,06601299556"
1995-09-04,"848,801422323186","912,689701422781","976,577980522375"
1995-09-05,"849,246636846752","913,168426716937","977,090216587123"
1995-09-06,"849,692084894869","913,647403112763","977,602721330656"
1995-09-07,"850,137766590027","914,126630741965","978,115494893902"
1995-09-08,"850,583682054779","914,606109736322","978,628537417864"
1995-09-11,"851,029831411742","915,08584022768","979,141849043617"
1995-09-12,"851,476214783597","915,565822347954","979,655429912311"
1995-09-13,"851,92283229309","916,046056229129","980,169280165168"
1995-09-14,"852,369684063031","916,52654200326","980,683399943488"
1995-09-15,"852,816770216296","917,007279802468","981,197789388641"
1995-09-18,"853,264090875822","917,488269758948","981,712448642075"
1995-09-19,"853,711646164614","917,969512004961","982,227377845308"
1995-09-20,"854,159436205739","918,451006672838","982,742577139937"
1995-09-21,"854,607461122331","918,932753894979","983,258046667628"
1995-09-22,"855,055721037586","919,414753803856","983,773786570126"
1995-09-25,"855,504216074766","919,897006532007","984,289796989247"
1995-09-26,"855,952946357199","920,379512212042","984,806078066884"
1995-09-27,"856,401912008274","920,862270976638","985,322629945003"
1995-09-28,"856,851113151448","921,345282958546","985,839452765644"
1995-09-29,"857,300549910241","921,828548290582","986,356546670923"
1995-10-02,"857,75022240824","922,312067105634","986,873911803028"
1995-10-03,"858,200130769093","922,795839536659","987,391548304225"
1995-10-04,"858,650275116517","923,279865716685","987,909456316853"
1995-10-05,"859,100655574291","923,764145778808","988,427635983324"
1995-10-06,"859,551272266261","924,248679856194","988,946087446128"
1995-10-09,"860,002125316335","924,733468082081","989,464810847827"
1995-10-10,"860,45321484849","925,218510589774","989,983806331058"
1995-10-11,"860,904540986765","925,70380751265","990,503074038535"
1995-10-12,"861,356103855264","926,189358984155","991,022614113046"
1995-10-13,"861,807903578159","926,675165137805","991,542426697451"
1995-10-17,"862,259940279683","927,161226107186","992,062511934689"
1995-10-18,"862,712214084139","927,647542025955","992,582869967772"
1995-10-19,"863,16472511589","928,134113027839","993,103500939787"
1995-10-20,"863,617473499368","928,620939246633","993,624404993897"
1995-10-23,"864,07045935907","929,108020816204","994,145582273338"
1995-10-24,"864,523682819555","929,59535787049","994,667032921424"
1995-10-25,"864,977144005452","930,082950543497","995,188757081542"
1995-10-26,"865,430843041452","930,570798969303","995,710754897154"
1995-10-27,"865,884780052312","931,058903282056","996,2330265118"
1995-10-30,"866,338955162856","931,547263615975","996,755572069093"
1995-10-31,"866,793368497972","932,035880105347","997,278391712721"
1995-11-01,"867,248020182614","932,524752884531","997,801485586448"
1995-11-02,"867,702910341801","933,013882087958","998,324853834115"
1995-11-03,"868,158039100618","933,503267850127","998,848496599636"
1995-11-07,"868,613406584216","933,992910305608","999,372414027001"
1995-11-08,"869,069012917811","934,482809589044","999,896606260277"
1995-11-09,"869,524858226685","934,972965835145","1000,42107344361"
1995-11-10,"869,980942636186","935,463379178694","1000,9458157212"
1995-11-14,"870,437266271727","935,954049754545","1001,47083323736"
1995-11-15,"870,893829258787","936,44497769762","1001,99612613645"
1995-11-16,"871,350631722911","936,936163142915","1002,52169456292"
1995-11-17,"871,807673789711","937,427606225495","1003,04753866128"
1995-11-20,"872,264955584862","937,919307080497","1003,57365857613"
1995-11-21,"872,722477234108","938,411265843127","1004,10005445215"
1995-11-22,"873,180238863257","938,903482648663","1004,62672643407"
1995-11-23,"873,638240598183","939,395957632455","1005,15367466673"
1995-11-24,"874,096482564828","939,888690929923","1005,68089929502"
1995-11-27,"874,554964889198","940,381682676557","1006,20840046392"
1995-11-28,"875,013687697366","940,874933007921","1006,73617831848"
1995-11-29,"875,472651115471","941,368442059646","1007,26423300382"
1995-11-30,"875,931855269717","941,862209967437","1007,79256466516"
1995-12-01,"876,391300286376","942,356236867071","1008,32117344777"
1995-12-04,"876,850986291786","942,850522894393","1008,850059497"
1995-12-05,"877,31091341235","943,345068185322","1009,3792229583"
1995-12-06,"877,771081774538","943,839872875848","1009,90866397716"
1995-12-07,"878,231491504887","944,334937102029","1010,43838269917"
1995-12-11,"878,69214273","944,830261","1010,96837927"
1995-12-12,"879,153035576545","945,325844705963","1011,49865383538"
1995-12-13,"879,614170171259","945,821688356192","1012,02920654113"
1995-12-14,"880,075546640943","946,317792087035","1012,56003753313"
1995-12-15,"880,537165112466","946,814156034909","1013,09114695735"
1995-12-18,"880,999025712763","947,310780336304","1013,62253495985"
1995-12-19,"881,461128568836","947,80766512778","1014,15420168672"
1995-12-20,"881,923473807753","948,304810545971","1014,68614728419"
1995-12-21,"882,386061556649","948,80221672758","1015,21837189851"
1995-12-22,"882,848891942726","949,299883809383","1015,75087567604"
1995-12-26,"883,311965093253","949,797811928229","1016,2836587632"
1995-12-27,"883,775281135564","950,296001221036","1016,81672130651"
1995-12-28,"884,238840197061","950,794451824797","1017,35006345253"
1995-12-29,"884,702642405213","950,794451824797","1017,88368534793"
1996-01-02,"885,159954840011","951,784897677431","1018,40984051485"
1996-01-03,"885,620449122307","952,280052819685","1018,93965651706"
1996-01-04,"886,081182971456","952,775465560705","1019,46974814995"
1996-01-05,"886,542156512088","953,271136034503","1020,00011555692"
1996-01-09,"887,003369868901","953,767064375163","1020,53075888142"
1996-01-10,"887,464823166657","954,263250716835","1021,06167826701"
1996-01-11,"887,926516530181","954,759695193743","1021,59287385731"
1996-01-12,"888,388450084366","955,256397940179","1022,12434579599"
1996-01-15,"888,850623954168","955,753359090503","1022,65609422684"
1996-01-16,"889,313038264608","956,250578779148","1023,18811929369"
1996-01-17,"889,775693140772","956,748057140615","1023,72042114046"
1996-01-18,"890,238588707813","957,245794309476","1024,25299991114"
1996-01-19,"890,701725090947","957,743790420373","1024,7858557498"
1996-01-22,"891,165102415455","958,242045608016","1025,31898880058"
1996-01-23,"891,628720806685","958,740560007188","1025,85239920769"
1996-01-24,"892,092580390049","959,239333752741","1026,38608711543"
1996-01-25,"892,556681291024","959,738366979596","1026,92005266817"
1996-01-26,"893,021023635154","960,237659822746","1027,45429601034"
1996-01-29,"893,485607548045","960,737212417253","1027,98881728646"
1996-01-30,"893,950433155372","961,237024898249","1028,52361664113"
1996-01-31,"894,415500582873","961,737097400938","1029,058694219"
1996-02-01,"894,880809956352","962,237430060593","1029,59405016483"
1996-02-02,"895,346361401679","962,738023012558","1030,12968462344"
1996-02-05,"895,812155044789","963,238876392246","1030,6655977397"
1996-02-06,"896,278191011683","963,739990335143","1031,2017896586"
1996-02-07,"896,744469428427","964,241364976803","1031,73826052518"
1996-02-08,"897,210990421152","964,743000452851","1032,27501048455"
1996-02-09,"897,677754116056","965,244896898985","1032,81203968191"
1996-02-12,"898,144760639402","965,74705445097","1033,34934826254"
1996-02-13,"898,612010117518","966,249473244643","1033,88693637177"
1996-02-14,"899,0795026768","966,752153415914","1034,42480415503"
1996-02-15,"899,547238443707","967,25509510076","1034,96295175781"
1996-02-16,"900,015217544765","967,758298435231","1035,5013793257"
1996-02-19,"900,483440106566","968,261763555448","1036,04008700433"
1996-02-20,"900,951906255768","968,7654905976","1036,57907493943"
1996-02-21,"901,420616119094","969,26947969795","1037,11834327681"
1996-02-22,"901,889569823334","969,773730992832","1037,65789216233"
1996-02-23,"902,358767495342","970,278244618647","1038,19772174195"
1996-02-26,"902,828209262041","970,783020711872","1038,7378321617"
1996-02-27,"903,297895250418","971,288059409052","1039,27822356769"
1996-02-28,"903,767825587527","971,793360846803","1039,81889610608"
1996-02-29,"904,238000400487","972,298925161814","1040,35984992314"
1996-03-01,"904,708419816483","972,804752490842","1040,9010851652"
1996-03-04,"905,179083962769","973,310842970719","1041,44260197867"
1996-03-05,"905,649992966661","973,817196738345","1041,98440051003"
1996-03-06,"906,121146955544","974,323813930693","1042,52648090584"
1996-03-07,"906,59254605687","974,830694684806","1043,06884331274"
1996-03-08,"907,064190398154","975,3378391378","1043,61148787745"
1996-03-11,"907,53608010698","975,84524742686","1044,15441474674"
1996-03-12,"908,008215310997","976,352919689245","1044,69762406749"
1996-03-13,"908,480596137923","976,860856062283","1045,24111598664"
1996-03-14,"908,953222715539","977,369056683375","1045,78489065121"
1996-03-15,"909,426095171694","977,877521689993","1046,32894820829"
1996-03-18,"909,899213634303","978,386251219681","1046,87328880506"
1996-03-19,"910,37257823135","978,895245410053","1047,41791258876"
1996-03-20,"910,846189090881","979,404504398797","1047,96281970671"
1996-03-21,"911,320046341014","979,914028323671","1048,50801030633"
