Orden,Cuentas,Valor,Unidad de medida y moneda,Fecha (Año),Estados de la informacion,Periodicidad,Trimestre
1,    1 Cuenta corriente,-3210.349642,Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-2706.088222,Millones - Dólares estadounidenses corrientes,2010,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-9734.501794,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Anual,
1,    1 Cuenta corriente,-2002.965783,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-1726.111058,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-3030.84709,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-2974.577863,Millones - Dólares estadounidenses corrientes,2011,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-11639.999051,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Anual,
1,    1 Cuenta corriente,-1838.261659,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-3235.458985,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-3596.242539,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-2970.035868,Millones - Dólares estadounidenses corrientes,2012,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-12365.129749,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Anual,
1,    1 Cuenta corriente,-3439.15823,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-2205.944345,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-3596.219454,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-3123.80772,Millones - Dólares estadounidenses corrientes,2013,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-19818.545633,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Anual,
1,    1 Cuenta corriente,-4124.711526,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q1
1,    1 Cuenta corriente,-4189.284516,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q2
1,    1 Cuenta corriente,-5033.405892,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q3
1,    1 Cuenta corriente,-6471.143699,Millones - Dólares estadounidenses corrientes,2014,Dato revisado,Trimestral,Q4
1,    1 Cuenta corriente,-18702.229659,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Anual,
1,    1 Cuenta corriente,-5291.929015,Millones - Dólares estadounidenses corrientes,2015,Dato revisado,Trimestral,Q1
